id,time,taxi_count,queue_length,min_coordinate,max_coordinate,day_type
1,00.00.00,0,0,0,0,weekday
2,00.01.00,0,0,0,0,weekday
3,00.02.00,7,23.435611616793015,"1.34021, 103.98319","1.34032, 103.98301",weekday
4,00.03.00,11,53.600198516729535,"1.34011, 103.9831","1.34038, 103.9827",weekday
5,00.04.00,11,30.697556962077943,"1.34012, 103.98325","1.3403, 103.98304",weekday
6,00.05.00,11,32.1755141563609,"1.34013, 103.98294","1.34033, 103.98273",weekday
7,00.06.00,8,18.568499233857338,"1.340226, 103.983089","1.34033, 103.98322",weekday
8,00.07.00,10,47.03891723274602,"1.34015, 103.983","1.34053, 103.98281",weekday
9,00.08.00,9,23.274633033691806,"1.34016, 103.98316","1.34035, 103.98307",weekday
10,00.09.00,10,40.789433781047904,"1.34018, 103.98303","1.34044, 103.98277",weekday
11,00.10.00,8,29.85521849217511,"1.34016, 103.98286","1.34043, 103.98286",weekday
12,00.11.00,18,67.45067881570391,"1.33999, 103.98294","1.3406, 103.98294",weekday
13,00.12.00,15,56.73040944434189,"1.34012, 103.98312","1.3406, 103.98294",weekday
14,00.13.00,0,0,0,0,weekday
15,00.14.00,0,0,0,0,weekday
16,00.15.00,8,9.902930033278796,"1.34018, 103.98317","1.34026, 103.98321",weekday
17,00.16.00,8,40.882580889039865,"1.34023, 103.98315","1.34037, 103.98281",weekday
18,00.17.00,0,0,0,0,weekday
19,00.18.00,9,52.88197560417808,"1.34033, 103.98304","1.34079, 103.98291",weekday
20,00.19.00,10,31.67283613159516,"1.34062, 103.98301","1.3409, 103.98295",weekday
21,00.20.00,14,105.00012463412374,"1.34006, 103.98308","1.3409, 103.98264",weekday
22,00.21.00,9,52.110003923247554,"1.34053, 103.98293","1.3409, 103.98264",weekday
23,00.22.00,28,82.28583660971314,"1.34022, 103.98304","1.34087, 103.98268",weekday
24,00.23.00,16,38.31447034398965,"1.34025, 103.98282","1.34059383333333, 103.98277735",weekday
25,00.24.00,22,97.1814198453654,"1.34, 103.98303","1.34086, 103.98321",weekday
26,00.25.00,0,0,0,0,weekday
27,00.26.00,10,40.26919778777902,"1.34073, 103.9832","1.3409, 103.98288",weekday
28,00.27.00,27,94.63607356026775,"1.3401, 103.98328","1.34088, 103.98293",weekday
29,00.28.00,19,77.02170890577527,"1.3402, 103.98308","1.34088, 103.98293",weekday
30,00.29.00,32,98.34974286419886,"1.34, 103.98318","1.34087561666667, 103.9830248",weekday
31,00.30.00,19,70.30459102817213,"1.3402, 103.98308","1.34082, 103.98294",weekday
32,00.31.00,8,30.960967336686817,"1.3402, 103.98308","1.34048, 103.98308",weekday
33,00.32.00,23,81.8757948064067,"1.34021, 103.98326","1.34085, 103.98289",weekday
34,00.33.00,31,85.1499332463166,"1.34013, 103.983","1.3409, 103.98299",weekday
35,00.34.00,30,102.22476876533155,"1.34, 103.98325","1.3409, 103.98304",weekday
36,00.35.00,44,134.92978616845616,"1.33969, 103.98322","1.34089, 103.983",weekday
37,00.36.00,31,84.18366334989219,"1.34015, 103.98317","1.3409, 103.98304",weekday
38,00.37.00,26,58.364791609232405,"1.34037, 103.98315","1.34089, 103.98306",weekday
39,00.38.00,31,75.60576412068156,"1.34019645, 103.9830865","1.34088, 103.98307",weekday
40,00.39.00,20,58.36479160692366,"1.34038, 103.98301","1.3409, 103.98292",weekday
41,00.40.00,24,52.55013030994305,"1.34040863333333, 103.9830802","1.34088, 103.98302",weekday
42,00.41.00,24,69.47424389134694,"1.34027261666667, 103.982956283333","1.3409, 103.98299",weekday
43,00.42.00,14,40.13230152134572,"1.34063285, 103.983174083333","1.34088, 103.98291",weekday
44,00.43.00,28,80.72733640015365,"1.34017, 103.98306","1.3409, 103.98307",weekday
45,00.44.00,28,95.87912656587666,"1.34, 103.98318","1.34086, 103.98329",weekday
46,00.45.00,20,67.66428770184015,"1.34031805, 103.982943833333","1.34089, 103.98316",weekday
47,00.46.00,25,70.37430970794433,"1.3401912, 103.983133883333","1.3407886, 103.982915816667",weekday
48,00.47.00,23,84.88306904365056,"1.34017, 103.98295","1.34088, 103.98324",weekday
49,00.48.00,16,66.87617065260879,"1.34036, 103.98277","1.340847, 103.983126333333",weekday
50,00.49.00,7,17.520871429984442,"1.34028, 103.983","1.34043785, 103.983013716667",weekday
51,00.50.00,19,107.28921237534614,"1.33993, 103.9829","1.34089, 103.98304",weekday
52,00.51.00,18,56.53594358187584,"1.3402, 103.98291","1.34067, 103.98311",weekday
53,00.52.00,34,85.20809448481658,"1.34013, 103.98298","1.3409, 103.98301",weekday
54,00.53.00,38,82.59132026763075,"1.33999283333333, 103.983093166667","1.34067, 103.98278",weekday
55,00.54.00,35,87.1565736215932,"1.34012, 103.98286","1.34082, 103.98322",weekday
56,00.55.00,36,78.74290974367901,"1.34, 103.98304","1.3407, 103.98317",weekday
57,00.56.00,51,107.11571083770865,"1.33999, 103.98328","1.3409, 103.98295",weekday
58,00.57.00,52,100.62929803900771,"1.33999, 103.98316","1.3409, 103.98315",weekday
59,00.58.00,35,75.41810620258195,"1.34006, 103.98322","1.34065, 103.98288",weekday
60,00.59.00,62,162.9170980664117,"1.3393566, 103.982850033333","1.34082, 103.98302",weekday
61,01.00.00,31,95.93445847538005,"1.34, 103.98318","1.34074, 103.98273",weekday
62,01.01.00,34,97.66941015644646,"1.33983, 103.98328","1.3406, 103.98285",weekday
63,01.02.00,31,83.29625240548866,"1.3401, 103.98306","1.34085, 103.98299",weekday
64,01.03.00,43,91.33277570497633,"1.34008, 103.98272","1.34086, 103.98299",weekday
65,01.04.00,23,82.45873261178463,"1.34009, 103.98307","1.34069, 103.98263",weekday
66,01.05.00,38,77.90194475268953,"1.33999, 103.98326","1.34064, 103.98299",weekday
67,01.06.00,24,41.154174189778786,"1.34032, 103.98308","1.34069, 103.98312",weekday
68,01.07.00,31,92.97770614685606,"1.34013, 103.98316","1.34078, 103.98263",weekday
69,01.08.00,30,75.58214522709655,"1.34, 103.98288","1.34068216666667, 103.982837",weekday
70,01.09.00,17,61.99808129802855,"1.34033, 103.9832","1.34074, 103.98282",weekday
71,01.10.00,13,56.24610273815853,"1.34024, 103.98291","1.34067, 103.98264",weekday
72,01.11.00,20,54.738869007153404,"1.34, 103.98311","1.34049, 103.98318",weekday
73,01.12.00,9,29.103388530219306,"1.34013, 103.98308","1.34033, 103.98291",weekday
74,01.13.00,10,31.15445323571716,"1.34016, 103.98276","1.34043, 103.98268",weekday
75,01.14.00,14,46.561305137919696,"1.34013, 103.98295","1.34055, 103.98298",weekday
76,01.15.00,7,34.208616172954116,"1.34015, 103.9831","1.34033, 103.98285",weekday
77,01.16.00,0,0,0,0,weekday
78,01.17.00,12,58.431961131422156,"1.34019, 103.9828","1.34066, 103.98304",weekday
79,01.18.00,0,0,0,0,weekday
80,01.19.00,8,33.30947351950984,"1.34016, 103.98293","1.34029, 103.9832",weekday
81,01.20.00,10,45.220482335916884,"1.34011, 103.98303","1.34044, 103.98279",weekday
82,01.21.00,0,0,0,0,weekday
83,01.22.00,0,0,0,0,weekday
84,01.23.00,0,0,0,0,weekday
85,01.24.00,0,0,0,0,weekday
86,01.25.00,8,47.549581592151405,"1.33927, 103.98289","1.33965, 103.98309",weekday
87,01.26.00,0,0,0,0,weekday
88,01.27.00,0,0,0,0,weekday
89,01.28.00,0,0,0,0,weekday
90,01.29.00,0,0,0,0,weekday
91,01.30.00,0,0,0,0,weekday
92,01.31.00,0,0,0,0,weekday
93,01.32.00,0,0,0,0,weekday
94,01.33.00,0,0,0,0,weekday
95,01.34.00,0,0,0,0,weekday
96,01.35.00,0,0,0,0,weekday
97,01.36.00,0,0,0,0,weekday
98,01.37.00,0,0,0,0,weekday
99,01.38.00,0,0,0,0,weekday
100,01.39.00,0,0,0,0,weekday
101,01.40.00,0,0,0,0,weekday
102,01.41.00,0,0,0,0,weekday
103,01.42.00,0,0,0,0,weekday
104,01.43.00,0,0,0,0,weekday
105,01.44.00,0,0,0,0,weekday
106,01.45.00,0,0,0,0,weekday
107,01.46.00,0,0,0,0,weekday
108,01.47.00,0,0,0,0,weekday
109,01.48.00,0,0,0,0,weekday
110,01.49.00,0,0,0,0,weekday
111,01.50.00,0,0,0,0,weekday
112,01.51.00,0,0,0,0,weekday
113,01.52.00,0,0,0,0,weekday
114,01.53.00,0,0,0,0,weekday
115,01.54.00,0,0,0,0,weekday
116,01.55.00,0,0,0,0,weekday
117,01.56.00,0,0,0,0,weekday
118,01.57.00,0,0,0,0,weekday
119,01.58.00,0,0,0,0,weekday
120,01.59.00,0,0,0,0,weekday
121,02.00.00,0,0,0,0,weekday
122,02.01.00,0,0,0,0,weekday
123,02.02.00,0,0,0,0,weekday
124,02.03.00,0,0,0,0,weekday
125,02.04.00,0,0,0,0,weekday
126,02.05.00,0,0,0,0,weekday
127,02.06.00,0,0,0,0,weekday
128,02.07.00,0,0,0,0,weekday
129,02.08.00,0,0,0,0,weekday
130,02.09.00,0,0,0,0,weekday
131,02.10.00,0,0,0,0,weekday
132,02.11.00,0,0,0,0,weekday
133,02.12.00,0,0,0,0,weekday
134,02.13.00,0,0,0,0,weekday
135,02.14.00,0,0,0,0,weekday
136,02.15.00,0,0,0,0,weekday
137,02.16.00,0,0,0,0,weekday
138,02.17.00,0,0,0,0,weekday
139,02.18.00,0,0,0,0,weekday
140,02.19.00,0,0,0,0,weekday
141,02.20.00,0,0,0,0,weekday
142,02.21.00,0,0,0,0,weekday
143,02.22.00,0,0,0,0,weekday
144,02.23.00,0,0,0,0,weekday
145,02.24.00,0,0,0,0,weekday
146,02.25.00,0,0,0,0,weekday
147,02.26.00,0,0,0,0,weekday
148,02.27.00,0,0,0,0,weekday
149,02.28.00,0,0,0,0,weekday
150,02.29.00,0,0,0,0,weekday
151,02.30.00,0,0,0,0,weekday
152,02.31.00,0,0,0,0,weekday
153,02.32.00,0,0,0,0,weekday
154,02.33.00,0,0,0,0,weekday
155,02.34.00,0,0,0,0,weekday
156,02.35.00,0,0,0,0,weekday
157,02.36.00,0,0,0,0,weekday
158,02.37.00,0,0,0,0,weekday
159,02.38.00,0,0,0,0,weekday
160,02.39.00,0,0,0,0,weekday
161,02.40.00,0,0,0,0,weekday
162,02.41.00,0,0,0,0,weekday
163,02.42.00,0,0,0,0,weekday
164,02.43.00,0,0,0,0,weekday
165,02.44.00,0,0,0,0,weekday
166,02.45.00,0,0,0,0,weekday
167,02.46.00,0,0,0,0,weekday
168,02.47.00,0,0,0,0,weekday
169,02.48.00,0,0,0,0,weekday
170,02.49.00,0,0,0,0,weekday
171,02.50.00,0,0,0,0,weekday
172,02.51.00,0,0,0,0,weekday
173,02.52.00,0,0,0,0,weekday
174,02.53.00,0,0,0,0,weekday
175,02.54.00,0,0,0,0,weekday
176,02.55.00,0,0,0,0,weekday
177,02.56.00,0,0,0,0,weekday
178,02.57.00,0,0,0,0,weekday
179,02.58.00,0,0,0,0,weekday
180,02.59.00,0,0,0,0,weekday
181,03.00.00,0,0,0,0,weekday
182,03.01.00,0,0,0,0,weekday
183,03.02.00,0,0,0,0,weekday
184,03.03.00,0,0,0,0,weekday
185,03.04.00,0,0,0,0,weekday
186,03.05.00,0,0,0,0,weekday
187,03.06.00,0,0,0,0,weekday
188,03.07.00,0,0,0,0,weekday
189,03.08.00,0,0,0,0,weekday
190,03.09.00,0,0,0,0,weekday
191,03.10.00,0,0,0,0,weekday
192,03.11.00,0,0,0,0,weekday
193,03.12.00,0,0,0,0,weekday
194,03.13.00,0,0,0,0,weekday
195,03.14.00,0,0,0,0,weekday
196,03.15.00,0,0,0,0,weekday
197,03.16.00,0,0,0,0,weekday
198,03.17.00,0,0,0,0,weekday
199,03.18.00,0,0,0,0,weekday
200,03.19.00,0,0,0,0,weekday
201,03.20.00,0,0,0,0,weekday
202,03.21.00,0,0,0,0,weekday
203,03.22.00,0,0,0,0,weekday
204,03.23.00,0,0,0,0,weekday
205,03.24.00,0,0,0,0,weekday
206,03.25.00,0,0,0,0,weekday
207,03.26.00,0,0,0,0,weekday
208,03.27.00,0,0,0,0,weekday
209,03.28.00,0,0,0,0,weekday
210,03.29.00,0,0,0,0,weekday
211,03.30.00,0,0,0,0,weekday
212,03.31.00,0,0,0,0,weekday
213,03.32.00,0,0,0,0,weekday
214,03.33.00,0,0,0,0,weekday
215,03.34.00,0,0,0,0,weekday
216,03.35.00,0,0,0,0,weekday
217,03.36.00,0,0,0,0,weekday
218,03.37.00,0,0,0,0,weekday
219,03.38.00,0,0,0,0,weekday
220,03.39.00,0,0,0,0,weekday
221,03.40.00,0,0,0,0,weekday
222,03.41.00,0,0,0,0,weekday
223,03.42.00,0,0,0,0,weekday
224,03.43.00,0,0,0,0,weekday
225,03.44.00,0,0,0,0,weekday
226,03.45.00,0,0,0,0,weekday
227,03.46.00,0,0,0,0,weekday
228,03.47.00,0,0,0,0,weekday
229,03.48.00,0,0,0,0,weekday
230,03.49.00,0,0,0,0,weekday
231,03.50.00,0,0,0,0,weekday
232,03.51.00,0,0,0,0,weekday
233,03.52.00,0,0,0,0,weekday
234,03.53.00,0,0,0,0,weekday
235,03.54.00,0,0,0,0,weekday
