id,time,taxi_count,queue_length,min_coordinate,max_coordinate,day_type
1,00.00.00,48,95.03726226233523,"1.34005, 103.98325","1.34069, 103.98268",weekday
2,00.01.00,39,80.84386213768718,"1.34019, 103.98321","1.34069, 103.98268",weekday
3,00.02.00,39,73.28592725917419,"1.34016, 103.98317","1.34075, 103.98287",weekday
4,00.03.00,37,64.33082700765347,"1.34021, 103.98316","1.34063, 103.98276",weekday
5,00.04.00,52,94.20193149043007,"1.34013, 103.9833","1.34071, 103.98268",weekday
6,00.05.00,47,73.44491182361635,"1.34018, 103.98304","1.34073, 103.98267",weekday
7,00.06.00,43,86.44967852041627,"1.3401, 103.98313","1.34073, 103.98267",weekday
8,00.07.00,51,75.22385708592033,"1.34006, 103.98321","1.34074, 103.98319",weekday
9,00.08.00,52,67.78038904054995,"1.34013, 103.98313","1.34074, 103.98319",weekday
10,00.09.00,56,80.75034625711896,"1.34008, 103.98322","1.34081, 103.9832",weekday
11,00.10.00,58,82.43615231376158,"1.34007, 103.98329","1.34081, 103.9832",weekday
12,00.11.00,61,74.88355917992129,"1.34016, 103.98304","1.3408, 103.98282",weekday
13,00.12.00,66,104.07392156684831,"1.34004, 103.98326","1.3409, 103.98288",weekday
14,00.13.00,70,92.89249002265105,"1.34009, 103.98312","1.34087, 103.98281",weekday
15,00.14.00,63,85.7297700374608,"1.34013, 103.98309","1.3409, 103.983",weekday
16,00.15.00,66,104.96851098347467,"1.34, 103.9833","1.3409, 103.983",weekday
17,00.16.00,69,91.0009608568863,"1.3402, 103.98313","1.3409, 103.9827",weekday
18,00.17.00,67,94.95843114039621,"1.34018, 103.98315","1.34089, 103.98267",weekday
19,00.18.00,70,100.14079990125677,"1.34006, 103.98303","1.34089, 103.98267",weekday
20,00.19.00,75,105.23723201271045,"1.34008, 103.98329","1.3409, 103.98281",weekday
21,00.20.00,77,102.34590718442064,"1.34004, 103.98315","1.3409, 103.98281",weekday
22,00.21.00,78,84.6808495005373,"1.34016, 103.98307","1.34089, 103.98284",weekday
23,00.22.00,78,89.73834129053752,"1.34008, 103.98308","1.34089, 103.98303",weekday
24,00.23.00,83,107.14851816377231,"1.34006, 103.9833","1.3409, 103.98282",weekday
25,00.24.00,77,96.92292203512774,"1.34006, 103.9833","1.34089, 103.98302",weekday
26,00.25.00,74,102.97794763794191,"1.34008, 103.98324","1.34087, 103.98275",weekday
27,00.26.00,73,94.76026219012125,"1.34008, 103.98308","1.34087, 103.98275",weekday
28,00.27.00,71,94.93268521732458,"1.34001, 103.98307","1.34086, 103.98295",weekday
29,00.28.00,76,123.22280235209678,"1.33982, 103.98325","1.34088733333333, 103.982931666667",weekday
30,00.29.00,75,120.43295610138146,"1.33982, 103.98325","1.3409, 103.98311",weekday
