date,time,cluster_size,address,day_type
2023-06-29,18:00:00,1,Fort Siloso,holiday
2023-06-29,18:00:00,1,Shangri-La's Rasa Sentosa Resort & Spa,holiday
2023-06-29,18:00:00,1,Gateway Avenue,holiday
2023-06-29,18:00:00,1,Serapong Course,holiday
2023-06-29,18:00:00,1,Ironside Link,holiday
2023-06-29,18:00:00,1,Ocean Drive,holiday
2023-06-29,18:01:00,1,Fort Siloso,holiday
2023-06-29,18:01:00,1,Siloso Road,holiday
2023-06-29,18:01:00,1,Ironside Link,holiday
2023-06-29,18:01:00,1,Allanbrooke Road,holiday
2023-06-29,18:01:00,1,Ocean Drive,holiday
2023-06-29,18:02:00,1,Siloso Road,holiday
2023-06-29,18:02:00,1,Serapong Course,holiday
2023-06-29,18:02:00,1,Ironside Link,holiday
2023-06-29,18:02:00,1,The Sentosa Resort & Spa,holiday
2023-06-29,18:02:00,1,Allanbrooke Road,holiday
2023-06-29,18:03:00,1,Resorts World Sentosa,holiday
2023-06-29,18:03:00,1,Sentosa Gateway,holiday
2023-06-29,18:03:00,1,Ironside Link,holiday
2023-06-29,18:03:00,1,Allanbrooke Road,holiday
2023-06-29,18:03:00,1,Cove Avenue,holiday
2023-06-29,18:03:00,1,Ocean Drive,holiday
2023-06-29,18:04:00,1,Resorts World Sentosa,holiday
2023-06-29,18:04:00,1,Sentosa Gateway,holiday
2023-06-29,18:04:00,1,Serapong Course,holiday
2023-06-29,18:04:00,1,Ironside Link,holiday
2023-06-29,18:04:00,1,ONE ̊15 Marina,holiday
2023-06-29,18:04:00,1,Ocean Way,holiday
2023-06-29,18:05:00,1,Sentosa Boardwalk,holiday
2023-06-29,18:05:00,2,Serapong Course,holiday
2023-06-29,18:05:00,1,Ironside Link,holiday
2023-06-29,18:05:00,1,ONE ̊15 Marina,holiday
2023-06-29,18:05:00,1,Ocean Way,holiday
2023-06-29,18:06:00,1,Gateway Avenue,holiday
2023-06-29,18:06:00,1,Gateway Avenue,holiday
2023-06-29,18:06:00,1,Serapong Course,holiday
2023-06-29,18:06:00,1,Ironside Link,holiday
2023-06-29,18:06:00,1,ONE ̊15 Marina,holiday
2023-06-29,18:06:00,1,Ocean Way,holiday
2023-06-29,18:06:00,1,Sentosa Gateway,holiday
2023-06-29,18:07:00,1,Ironside Link,holiday
2023-06-29,18:07:00,2,Serapong Course,holiday
2023-06-29,18:07:00,1,Sentosa Gateway,holiday
2023-06-29,18:08:00,1,Sentosa Gateway,holiday
2023-06-29,18:08:00,1,Ironside Link,holiday
2023-06-29,18:08:00,1,Serapong Course,holiday
2023-06-29,18:08:00,1,Artillery Avenue,holiday
2023-06-29,18:08:00,1,ONE ̊15 Marina,holiday
2023-06-29,18:09:00,1,Fort Siloso,holiday
2023-06-29,18:09:00,1,Sentosa Gateway,holiday
2023-06-29,18:09:00,1,Serapong Course,holiday
2023-06-29,18:09:00,1,Ironside Link,holiday
2023-06-29,18:09:00,1,Resorts World Sentosa,holiday
2023-06-29,18:09:00,1,ONE ̊15 Marina,holiday
2023-06-29,18:10:00,1,Fort Siloso,holiday
2023-06-29,18:10:00,1,Sentosa Gateway,holiday
2023-06-29,18:10:00,1,Resorts World Sentosa,holiday
2023-06-29,18:10:00,1,Ironside Link,holiday
2023-06-29,18:10:00,1,ONE ̊15 Marina,holiday
2023-06-29,18:10:00,1,Sentosa Gateway,holiday
2023-06-29,18:11:00,1,Gateway Avenue,holiday
2023-06-29,18:11:00,1,Ironside Link,holiday
2023-06-29,18:11:00,1,Cove Way,holiday
2023-06-29,18:11:00,1,Sentosa Gateway,holiday
2023-06-29,18:12:00,1,Amara Sanctuary Resort,holiday
2023-06-29,18:12:00,1,Gateway Avenue,holiday
2023-06-29,18:12:00,1,Gateway Avenue,holiday
2023-06-29,18:12:00,1,Ironside Link,holiday
2023-06-29,18:12:00,1,Serapong Course,holiday
