date,time,cluster_size,address,day_type
2022-12-03,04:00:00,1,Siloso Road,weekend
2022-12-03,04:00:00,1,Silk Road of the Sea,weekend
2022-12-03,04:00:00,1,Gateway Avenue,weekend
2022-12-03,04:00:00,1,Serapong Course,weekend
2022-12-03,04:01:00,1,Sentosa Nature Discovery,weekend
2022-12-03,04:01:00,1,Siloso Beach View,weekend
2022-12-03,04:01:00,1,Silk Road of the Sea,weekend
2022-12-03,04:01:00,1,Gateway Avenue,weekend
2022-12-03,04:01:00,1,Serapong Course,weekend
2022-12-03,04:02:00,1,51B,weekend
2022-12-03,04:02:00,1,Siloso Beach View,weekend
2022-12-03,04:02:00,1,Gateway Avenue,weekend
2022-12-03,04:03:00,1,Silk Road of the Sea,weekend
2022-12-03,04:03:00,1,Gateway Avenue,weekend
2022-12-03,04:04:00,1,Silk Road of the Sea,weekend
2022-12-03,04:04:00,1,Gateway Avenue,weekend
2022-12-03,04:05:00,1,Sentosa Gateway,weekend
2022-12-03,04:05:00,1,Gateway Avenue,weekend
2022-12-03,04:06:00,1,Silk Road of the Sea,weekend
2022-12-03,04:06:00,1,Gateway Avenue,weekend
2022-12-03,04:07:00,1,Silk Road of the Sea,weekend
2022-12-03,04:07:00,1,Ironside Link,weekend
2022-12-03,04:07:00,1,Gateway Avenue,weekend
2022-12-03,04:08:00,1,Silk Road of the Sea,weekend
2022-12-03,04:08:00,1,Ironside Link,weekend
2022-12-03,04:08:00,1,Gateway Avenue,weekend
2022-12-03,04:08:00,1,Serapong Course,weekend
2022-12-03,04:08:00,1,Allanbrooke Road,weekend
2022-12-03,04:09:00,1,Silk Road of the Sea,weekend
2022-12-03,04:09:00,1,Gateway Avenue,weekend
2022-12-03,04:10:00,1,Silk Road of the Sea,weekend
2022-12-03,04:10:00,1,Gateway Avenue,weekend
2022-12-03,04:10:00,1,Serapong Course,weekend
2022-12-03,04:11:00,1,Silk Road of the Sea,weekend
2022-12-03,04:11:00,1,Sentosa Gateway,weekend
2022-12-03,04:11:00,1,Gateway Avenue,weekend
2022-12-03,04:11:00,1,Serapong Course,weekend
2022-12-03,04:11:00,1,Ironside Link,weekend
2022-12-03,04:12:00,1,Silk Road of the Sea,weekend
2022-12-03,04:12:00,1,Sentosa Gateway,weekend
2022-12-03,04:12:00,1,Gateway Avenue,weekend
2022-12-03,04:12:00,1,Serapong Course,weekend
2022-12-03,04:12:00,1,Ironside Link,weekend
2022-12-03,04:13:00,1,Silk Road of the Sea,weekend
2022-12-03,04:13:00,1,Serapong Course,weekend
2022-12-03,04:13:00,1,Ironside Link,weekend
2022-12-03,04:14:00,1,Silk Road of the Sea,weekend
2022-12-03,04:14:00,1,Serapong Course,weekend
2022-12-03,04:14:00,1,Ironside Link,weekend
2022-12-03,04:15:00,1,Hard Rock Hotel Singapore,weekend
2022-12-03,04:15:00,1,Siloso Road,weekend
2022-12-03,04:15:00,1,Silk Road of the Sea,weekend
2022-12-03,04:15:00,1,Serapong Course,weekend
2022-12-03,04:15:00,1,Ironside Link,weekend
2022-12-03,04:15:00,1,Ocean Way,weekend
2022-12-03,04:16:00,1,Hard Rock Hotel Singapore,weekend
2022-12-03,04:16:00,1,Silk Road of the Sea,weekend
2022-12-03,04:16:00,1,Gateway Avenue,weekend
2022-12-03,04:16:00,1,Ironside Link,weekend
2022-12-03,04:17:00,1,Gateway Avenue,weekend
2022-12-03,04:18:00,1,Gateway Avenue,weekend
2022-12-03,04:18:00,1,Sentosa Gateway,weekend
2022-12-03,04:19:00,1,Silk Road of the Sea,weekend
2022-12-03,04:20:00,1,Silk Road of the Sea,weekend
2022-12-03,04:21:00,1,Silk Road of the Sea,weekend
2022-12-03,04:21:00,1,Gateway Avenue,weekend
2022-12-03,04:21:00,1,Sentosa Gateway,weekend
2022-12-03,04:22:00,1,Silk Road of the Sea,weekend
2022-12-03,04:22:00,1,Sentosa Gateway,weekend
2022-12-03,04:22:00,1,Gateway Avenue,weekend
2022-12-03,04:23:00,1,Silk Road of the Sea,weekend
2022-12-03,04:23:00,1,Sentosa Gateway,weekend
2022-12-03,04:23:00,1,Serapong Course,weekend
2022-12-03,04:24:00,1,Shangri-La's Rasa Sentosa Resort & Spa,weekend
2022-12-03,04:24:00,2,Gateway Avenue,weekend
2022-12-03,04:24:00,1,Serapong Course,weekend
2022-12-03,04:25:00,1,Silk Road of the Sea,weekend
2022-12-03,04:25:00,1,Serapong Course,weekend
2022-12-03,04:26:00,1,Silk Road of the Sea,weekend
2022-12-03,04:26:00,2,Gateway Avenue,weekend
2022-12-03,04:27:00,1,Silk Road of the Sea,weekend
2022-12-03,04:27:00,1,Gateway Avenue,weekend
2022-12-03,04:28:00,1,Beach View,weekend
2022-12-03,04:28:00,1,Silk Road of the Sea,weekend
2022-12-03,04:28:00,3,Gateway Avenue,weekend
2022-12-03,04:28:00,1,Sentosa Gateway,weekend
2022-12-03,04:29:00,1,Beach View,weekend
2022-12-03,04:29:00,1,Silk Road of the Sea,weekend
2022-12-03,04:29:00,2,Serapong Course,weekend
2022-12-03,04:30:00,1,Silk Road of the Sea,weekend
2022-12-03,04:30:00,1,Southern Islands,weekend
2022-12-03,04:30:00,1,Gateway Avenue,weekend
2022-12-03,04:30:00,1,Serapong Course,weekend
2022-12-03,04:31:00,1,Silk Road of the Sea,weekend
2022-12-03,04:31:00,1,Artillery Avenue,weekend
2022-12-03,04:31:00,1,Gateway Avenue,weekend
2022-12-03,04:31:00,1,Serapong Course,weekend
2022-12-03,04:32:00,1,Silk Road of the Sea,weekend
2022-12-03,04:32:00,1,Universal Studios Singapore,weekend
