date,hour,avg_taxi_drivers,max_cluster_size
2023-02-25,00,118.22,11
2023-02-25,01,100.07,8
2023-02-25,02,101.28,12
2023-02-25,03,67.97,9
2023-02-25,04,64.4,8
2023-02-25,05,121.48,11
2023-02-25,06,134.0,8
2023-02-25,07,171.07,10
2023-02-25,08,144.2,14
2023-02-25,09,120.35,6
2023-02-25,10,120.0,3
2023-02-25,11,120.0,3
2023-02-25,12,120.0,3
2023-02-25,13,120.0,3
2023-02-25,14,79.88,5
2023-02-25,15,44.78,4
2023-02-25,16,45.68,7
2023-02-25,17,82.92,9
2023-02-25,18,87.62,7
2023-02-25,19,77.67,9
2023-02-25,20,131.03,9
2023-02-25,21,182.33,10
2023-02-25,22,190.12,12
2023-02-25,23,143.45,11
