date,time,address,frequency
2019-12-21,00,"T3 Departure Drive, Changi, Southeast, 818937, Singapore",1679
2019-12-21,00,"Changi Airport Terminal 3, 65, T1 Boulevard, Changi, Singapore, Southeast, 819663, Singapore",1581
2019-12-21,00,"Airport Boulevard, Changi, Southeast, 819658, Singapore",1347
2019-12-21,00,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore",1343
2019-12-21,00,"T3 Arrival Drive, Changi, Southeast, 819663, Singapore",1252
2019-12-21,01,"Changi Airport Terminal 3, 65, T1 Boulevard, Changi, Singapore, Southeast, 819663, Singapore",1154
2019-12-21,01,"T3 Arrival Drive, Changi, Southeast, 819663, Singapore",1139
2019-12-21,01,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore",1124
2019-12-21,01,"T3 Departure Drive, Changi, Southeast, 818937, Singapore",697
2019-12-21,01,"Airport Boulevard, Changi, Southeast, 819658, Singapore",672
2019-12-21,02,"T3 Arrival Drive, Changi, Southeast, 819663, Singapore",743
2019-12-21,02,"Changi Airport Terminal 3, 65, T1 Boulevard, Changi, Singapore, Southeast, 819663, Singapore",665
2019-12-21,02,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore",442
2019-12-21,02,"T4 Departure Drive, Changi, Southeast, 819665, Singapore",325
2019-12-21,02,"T1 Departure Crescent, Changi, Southeast, 819642, Singapore",323
2019-12-21,03,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore",867
2019-12-21,03,"T3 Arrival Drive, Changi, Southeast, 819663, Singapore",531
2019-12-21,03,"Changi Airport Terminal 3, 65, T1 Boulevard, Changi, Singapore, Southeast, 819663, Singapore",332
2019-12-21,03,"T1 Departure Crescent, Changi, Southeast, 819642, Singapore",289
2019-12-21,03,"Changi Airport Terminal 1, 80, Airport Boulevard, Changi, Singapore, Southeast, 819642, Singapore",267
2019-12-21,04,"T3 Arrival Drive, Changi, Southeast, 819663, Singapore",1073
2019-12-21,04,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore",1049
2019-12-21,04,"Changi Airport Terminal 3, 65, T1 Boulevard, Changi, Singapore, Southeast, 819663, Singapore",741
