date,hour,avg_taxi_drivers,max_cluster_size
2023-06-29,00,173.83,10
2023-06-29,01,109.23,9
2023-06-29,02,65.32,8
2023-06-29,03,50.63,7
2023-06-29,04,101.62,7
2023-06-29,05,133.37,17
2023-06-29,06,130.42,9
2023-06-29,07,172.87,9
2023-06-29,08,181.38,10
2023-06-29,09,193.65,9
2023-06-29,10,198.57,11
2023-06-29,11,191.25,9
2023-06-29,12,172.35,8
2023-06-29,13,139.78,9
2023-06-29,14,151.8,7
2023-06-29,15,140.12,7
2023-06-29,16,108.27,7
2023-06-29,17,118.1,8
2023-06-29,18,166.52,8
2023-06-29,19,199.75,11
2023-06-29,20,177.58,7
2023-06-29,21,141.55,9
2023-06-29,22,138.43,7
2023-06-29,23,162.53,8
