date,hour,avg_taxi_drivers,max_cluster_size
2018-12-23,00,351.45,79
2018-12-23,01,76.07,23
2018-12-23,02,44.29,5
2018-12-23,03,0,0
2018-12-23,04,0,0
2018-12-23,05,191.38,35
2018-12-23,06,366.47,30
2018-12-23,07,379.78,41
2018-12-23,08,310.32,40
2018-12-23,09,238.65,24
2018-12-23,10,285.97,37
2018-12-23,11,321.35,47
2018-12-23,12,292.03,45
2018-12-23,13,213.23,30
2018-12-23,14,302.72,37
2018-12-23,15,345.48,35
2018-12-23,16,299.47,31
2018-12-23,17,454.88,40
2018-12-23,18,449.48,33
2018-12-23,19,362.15,39
2018-12-23,20,420.22,34
2018-12-23,21,454.87,31
2018-12-23,22,483.75,42
2018-12-23,23,427.65,26
