date,hour,avg_taxi_drivers,max_cluster_size
2023-09-10,00,238.95,15
2023-09-10,01,82.67,14
2023-09-10,02,92.75,12
2023-09-10,03,84.95,10
2023-09-10,04,106.33,11
2023-09-10,05,105.35,7
2023-09-10,06,135.68,19
2023-09-10,07,159.57,10
2023-09-10,08,153.3,11
2023-09-10,09,192.13,13
2023-09-10,10,180.18,20
2023-09-10,11,202.57,11
2023-09-10,12,153.02,15
2023-09-10,13,95.32,9
2023-09-10,14,99.72,6
2023-09-10,15,156.92,12
2023-09-10,16,149.12,15
2023-09-10,17,136.93,11
2023-09-10,18,212.97,12
2023-09-10,19,246.95,15
2023-09-10,20,144.03,13
2023-09-10,21,174.95,12
2023-09-10,22,187.8,17
2023-09-10,23,173.32,12
