date,time,address,congestion_minutes,congestion_minute_counts
2019-12-19,22,"Changi Airport Terminal 3, 65, T1 Boulevard, Changi, Singapore, Southeast, 819663, Singapore","[41, 42]",2
2019-12-19,22,"Terminal 3, T1 Boulevard, Changi, Southeast, 819643, Singapore","[27, 28]",2
2019-12-19,22,"Terminal 3, T1 Boulevard, Changi, Southeast, 819643, Singapore","[35, 36]",2
2019-12-19,22,"Terminal 3, T1 Boulevard, Changi, Southeast, 819643, Singapore","[41, 42]",2
2019-12-19,22,"T3 Departure Drive, Changi, Southeast, 818937, Singapore","[29, 30]",2
2019-12-19,22,"T3 Departure Drive, Changi, Southeast, 818937, Singapore","[34, 35]",2
2019-12-19,22,"T3 Departure Drive, Changi, Southeast, 818937, Singapore","[55, 56, 57, 58, 59]",5
2019-12-19,22,"T2 Departure Drive, Changi, Southeast, 819661, Singapore","[38, 39, 40]",3
2019-12-19,23,"T3 Departure Drive, Changi, Southeast, 818937, Singapore","[0, 1]",2
2019-12-19,23,"T3 Departure Drive, Changi, Southeast, 818937, Singapore","[3, 4, 5, 6, 7, 8]",6
2019-12-19,23,"T3 Departure Drive, Changi, Southeast, 818937, Singapore","[10, 11, 12]",3
2019-12-19,23,"T3 Arrival Drive, Changi, Southeast, 819663, Singapore","[0, 1, 2]",3
2019-12-19,23,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[3, 4]",2
2019-12-19,23,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[7, 8, 9]",3
2019-12-19,23,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[14, 15, 16, 17, 18, 19, 20, 21, 22]",9
2019-12-19,23,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[24, 25, 26, 27, 28, 29, 30, 31]",8
2019-12-19,23,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[33, 34, 35]",3
2019-12-19,23,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[38, 39, 40]",3
2019-12-19,23,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[42, 43, 44, 45, 46, 47, 48]",7
2019-12-19,23,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[50, 51, 52, 53, 54, 55, 56, 57, 58, 59]",10
2019-12-19,23,"Terminal 3, T1 Boulevard, Changi, Southeast, 819643, Singapore","[31, 32, 33, 34, 35, 36, 37]",7
