date,hour,avg_taxi_drivers,max_cluster_size
2023-03-14,00,162.72,9
2023-03-14,01,87.58,11
2023-03-14,02,56.03,12
2023-03-14,03,46.05,10
2023-03-14,04,52.28,6
2023-03-14,05,69.63,7
2023-03-14,06,107.47,8
2023-03-14,07,152.45,9
2023-03-14,08,134.85,9
2023-03-14,09,79.53,7
2023-03-14,10,78.0,5
2023-03-14,11,115.45,8
2023-03-14,12,114.1,5
2023-03-14,13,105.83,9
2023-03-14,14,89.53,8
2023-03-14,15,106.65,6
2023-03-14,16,122.03,9
2023-03-14,17,135.22,10
2023-03-14,18,171.18,11
2023-03-14,19,217.87,11
2023-03-14,20,202.87,18
2023-03-14,21,194.18,9
2023-03-14,22,196.35,10
2023-03-14,23,176.3,11
