date,hour,avg_taxi_drivers,max_cluster_size
2022-12-22,00,205.65,14
2022-12-22,01,122.03,9
2022-12-22,02,83.1,10
2022-12-22,03,93.2,12
2022-12-22,04,105.9,13
2022-12-22,05,162.3,11
2022-12-22,06,182.72,12
2022-12-22,07,200.03,14
2022-12-22,08,205.23,16
2022-12-22,09,175.0,12
2022-12-22,10,151.37,12
2022-12-22,11,189.83,12
2022-12-22,12,220.68,16
2022-12-22,13,165.38,7
2022-12-22,14,102.92,7
2022-12-22,15,151.52,9
2022-12-22,16,155.03,17
2022-12-22,17,255.28,13
2022-12-22,18,204.02,11
2022-12-22,19,197.5,13
2022-12-22,20,202.28,15
2022-12-22,21,230.88,14
2022-12-22,22,267.05,13
2022-12-22,23,185.92,10
