date,hour,avg_taxi_drivers,max_cluster_size
2023-10-02,00,129.3,8
2023-10-02,01,107.78,10
2023-10-02,02,151.82,17
2023-10-02,03,139.82,13
2023-10-02,04,162.38,13
2023-10-02,05,163.17,10
2023-10-02,06,178.4,15
2023-10-02,07,142.9,10
2023-10-02,08,133.72,11
2023-10-02,09,139.73,14
2023-10-02,10,144.28,15
2023-10-02,11,129.3,14
2023-10-02,12,155.22,11
2023-10-02,13,168.02,14
2023-10-02,14,186.28,15
2023-10-02,15,231.03,19
2023-10-02,16,205.52,11
2023-10-02,17,206.8,9
2023-10-02,18,244.1,13
2023-10-02,19,234.1,18
2023-10-02,20,259.17,25
2023-10-02,21,210.78,14
2023-10-02,22,231.95,17
2023-10-02,23,203.28,12
