date,hour,avg_taxi_drivers,max_cluster_size
2018-11-25,00,390.49,51
2018-11-25,01,78.13,18
2018-11-25,02,45.32,6
2018-11-25,03,105.37,19
2018-11-25,04,168.22,21
2018-11-25,05,243.05,27
2018-11-25,06,333.75,40
2018-11-25,07,339.57,35
2018-11-25,08,277.8,26
2018-11-25,09,214.82,15
2018-11-25,10,258.12,26
2018-11-25,11,319.73,36
2018-11-25,12,266.77,40
2018-11-25,13,213.37,33
2018-11-25,14,291.33,25
2018-11-25,15,322.5,31
2018-11-25,16,177.5,13
2018-11-25,17,337.33,34
2018-11-25,18,317.95,28
2018-11-25,19,262.12,19
2018-11-25,20,283.73,17
2018-11-25,21,393.25,22
2018-11-25,22,462.95,47
2018-11-25,23,520.75,99
