date,time,address,congestion_minutes,congestion_minute_counts
2019-12-20,00,"Terminal 3, T1 Boulevard, Changi, Southeast, 819643, Singapore","[6, 7]",2
2019-12-20,00,"Terminal 3, T1 Boulevard, Changi, Southeast, 819643, Singapore","[19, 20, 21, 22]",4
2019-12-20,00,"Terminal 3, T1 Boulevard, Changi, Southeast, 819643, Singapore","[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",12
2019-12-20,00,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[31, 32, 33, 34]",4
2019-12-20,00,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[37, 38]",2
2019-12-20,00,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[40, 41, 42, 43, 44, 45, 46, 47]",8
2019-12-20,00,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[55, 56, 57]",3
2019-12-20,01,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[0, 1, 2]",3
2019-12-20,01,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[4, 5, 6]",3
2019-12-20,01,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[9, 10]",2
2019-12-20,01,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[20, 21]",2
2019-12-20,01,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[25, 26]",2
2019-12-20,01,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[32, 33, 34]",3
2019-12-20,01,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]",22
2019-12-20,01,"Car Park 2B, T2 Departure Drive, Changi, Southeast, 918141, Singapore","[18, 19]",2
2019-12-20,01,"Car Park 2B, T2 Departure Drive, Changi, Southeast, 918141, Singapore","[22, 23, 24]",3
2019-12-20,03,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[18, 19]",2
2019-12-20,04,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",16
2019-12-20,05,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",10
2019-12-20,05,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[17, 18, 19, 20, 21, 22, 23]",7
2019-12-20,05,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[25, 26, 27, 28]",4
2019-12-20,06,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[11, 12, 13, 14, 15, 16]",6
2019-12-20,06,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[22, 23]",2
2019-12-20,06,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[29, 30, 31]",3
2019-12-20,06,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[34, 35, 36]",3
2019-12-20,06,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[44, 45]",2
2019-12-20,06,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[47, 48, 49]",3
2019-12-20,06,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[51, 52, 53]",3
2019-12-20,06,"Changi Airport Terminal 2, 60, Airport Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[55, 56, 57]",3
2019-12-20,06,"Terminal 3, T1 Boulevard, Changi, Southeast, 819643, Singapore","[30, 31, 32, 33, 34, 35, 36]",7
2019-12-20,06,"Terminal 3, T1 Boulevard, Changi, Southeast, 819643, Singapore","[40, 41, 42]",3
2019-12-20,06,"Terminal 3, T1 Boulevard, Changi, Southeast, 819643, Singapore","[44, 45]",2
2019-12-20,06,"Terminal 3, T1 Boulevard, Changi, Southeast, 819643, Singapore","[48, 49]",2
2019-12-20,06,"Terminal 3, T1 Boulevard, Changi, Southeast, 819643, Singapore","[55, 56, 57]",3
2019-12-20,07,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[13, 14, 15]",3
2019-12-20,07,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[19, 20, 21]",3
2019-12-20,07,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",12
2019-12-20,07,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[41, 42, 43]",3
2019-12-20,07,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",12
2019-12-20,08,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[1, 2]",2
2019-12-20,08,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",17
2019-12-20,08,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",16
2019-12-20,09,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[2, 3, 4]",3
2019-12-20,09,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[8, 9]",2
2019-12-20,09,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[13, 14]",2
2019-12-20,09,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[23, 24]",2
2019-12-20,09,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[28, 29]",2
2019-12-20,09,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[33, 34, 35]",3
2019-12-20,11,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[3, 4, 5, 6, 7]",5
2019-12-20,11,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[9, 10, 11, 12, 13]",5
2019-12-20,12,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[6, 7, 8, 9, 10]",5
2019-12-20,12,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[27, 28, 29]",3
2019-12-20,16,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[0, 1]",2
2019-12-20,16,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[8, 9, 10]",3
2019-12-20,16,"Changi Airport Terminal 3, 65, Airport Boulevard, Changi, Singapore, Southeast, 819663, Singapore","[53, 54, 55, 56]",4
2019-12-20,17,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[37, 38]",2
2019-12-20,18,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[3, 4, 5]",3
2019-12-20,18,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[29, 30, 31]",3
2019-12-20,18,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[35, 36, 37, 38, 39, 40, 41]",7
2019-12-20,20,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[0, 1]",2
2019-12-20,20,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[18, 19, 20]",3
2019-12-20,20,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[24, 25, 26, 27]",4
2019-12-20,20,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[36, 37, 38, 39, 40]",5
2019-12-20,20,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[44, 45, 46]",3
2019-12-20,20,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[48, 49, 50, 51, 52]",5
2019-12-20,20,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[57, 58, 59]",3
2019-12-20,20,"Changi Airport Terminal 3, 65, Airport Boulevard, Changi, Singapore, Southeast, 819663, Singapore","[3, 4, 5, 6]",4
2019-12-20,21,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[0, 1, 2, 3, 4]",5
2019-12-20,21,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[6, 7, 8, 9]",4
2019-12-20,21,"Changi Airport Terminal 2, 60, T1 Boulevard, Changi, Singapore, Southeast, 819643, Singapore","[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]",46
2019-12-20,21,"Changi Airport Terminal 3, 65, Airport Boulevard, Changi, Singapore, Southeast, 819663, Singapore","[4, 5, 6]",3
2019-12-20,21,"Changi Airport Terminal 3, 65, Airport Boulevard, Changi, Singapore, Southeast, 819663, Singapore","[31, 32]",2
2019-12-20,21,"Changi Airport Terminal 3, 65, Airport Boulevard, Changi, Singapore, Southeast, 819663, Singapore","[34, 35, 36]",3
2019-12-20,21,"T3 Arrival Drive, Changi, Southeast, 819663, Singapore","[29, 30]",2
2019-12-20,21,"T3 Arrival Drive, Changi, Southeast, 819663, Singapore","[51, 52, 53, 54, 55, 56]",6
2019-12-20,21,"T3 Departure Drive, Changi, Southeast, 818937, Singapore","[39, 40]",2
2019-12-20,21,"T3 Departure Drive, Changi, Southeast, 818937, Singapore","[42, 43, 44, 45, 46, 47, 48, 49, 50]",9
2019-12-20,21,"T3 Departure Drive, Changi, Southeast, 818937, Singapore","[53, 54, 55, 56, 57, 58, 59]",7
