date,hour,avg_taxi_drivers,max_cluster_size
2023-04-11,00,190.6,11
2023-04-11,01,78.9,8
2023-04-11,02,73.93,11
2023-04-11,03,107.28,10
2023-04-11,04,116.43,12
2023-04-11,05,122.68,8
2023-04-11,06,140.45,12
2023-04-11,07,176.28,11
2023-04-11,08,173.98,15
2023-04-11,09,151.65,9
2023-04-11,10,132.02,10
2023-04-11,11,171.03,11
2023-04-11,12,189.63,15
2023-04-11,13,195.77,14
2023-04-11,14,156.38,12
2023-04-11,15,178.68,12
2023-04-11,16,132.08,9
2023-04-11,17,192.55,11
2023-04-11,18,191.68,16
2023-04-11,19,242.98,15
2023-04-11,20,374.77,28
2023-04-11,21,308.93,12
2023-04-11,22,319.25,12
2023-04-11,23,285.52,11
