date,hour,avg_taxi_drivers,max_cluster_size
2023-06-18,00,217.1,16
2023-06-18,01,110.38,11
2023-06-18,02,127.25,14
2023-06-18,03,101.43,15
2023-06-18,04,111.43,15
2023-06-18,05,145.72,8
2023-06-18,06,138.57,9
2023-06-18,07,143.8,5
2023-06-18,08,207.28,12
2023-06-18,09,232.33,16
2023-06-18,10,170.67,8
2023-06-18,11,187.18,8
2023-06-18,12,161.92,10
2023-06-18,13,104.7,9
2023-06-18,14,121.03,12
2023-06-18,15,112.95,10
2023-06-18,16,131.25,10
2023-06-18,17,128.55,15
2023-06-18,18,145.7,12
2023-06-18,19,132.73,13
2023-06-18,20,103.1,8
2023-06-18,21,140.87,11
2023-06-18,22,144.98,12
2023-06-18,23,173.05,12
