date,hour,avg_taxi_drivers,max_cluster_size
2019-12-19,00,366.83,32
2019-12-19,01,358.4,37
2019-12-19,02,227.88,21
2019-12-19,03,145.28,21
2019-12-19,04,184.02,24
2019-12-19,05,298.63,25
2019-12-19,06,336.88,29
2019-12-19,07,322.48,23
2019-12-19,08,318.37,27
2019-12-19,09,286.03,34
2019-12-19,10,247.7,27
2019-12-19,11,312.67,27
2019-12-19,12,315.4,27
2019-12-19,13,322.38,23
2019-12-19,14,296.8,30
2019-12-19,15,309.37,31
2019-12-19,16,284.05,19
2019-12-19,17,310.57,26
2019-12-19,18,410.47,29
2019-12-19,19,459.6,28
2019-12-19,20,483.78,39
2019-12-19,21,502.23,46
2019-12-19,22,657.83,63
2019-12-19,23,587.15,93
