date,hour,avg_taxi_drivers,max_cluster_size
2023-05-01,00,139.08,15
2023-05-01,01,87.32,7
2023-05-01,02,69.0,13
2023-05-01,03,101.58,12
2023-05-01,04,132.82,15
2023-05-01,05,155.73,14
2023-05-01,06,134.67,7
2023-05-01,07,158.57,11
2023-05-01,08,179.18,13
2023-05-01,09,200.0,10
2023-05-01,10,178.78,10
2023-05-01,11,194.88,15
2023-05-01,12,152.78,12
2023-05-01,13,91.62,7
2023-05-01,14,124.45,12
2023-05-01,15,115.87,9
2023-05-01,16,105.52,9
2023-05-01,17,163.8,13
2023-05-01,18,235.57,13
2023-05-01,19,182.88,12
2023-05-01,20,119.9,13
2023-05-01,21,119.5,10
2023-05-01,22,118.85,11
2023-05-01,23,142.22,12
