date,hour,avg_taxi_drivers,max_cluster_size
2023-06-02,00,203.05,9
2023-06-02,01,122.53,9
2023-06-02,02,92.25,8
2023-06-02,03,60.07,7
2023-06-02,04,79.12,8
2023-06-02,05,96.85,9
2023-06-02,06,136.65,8
2023-06-02,07,159.35,10
2023-06-02,08,195.1,11
2023-06-02,09,183.83,9
2023-06-02,10,200.48,10
2023-06-02,11,196.62,13
2023-06-02,12,166.13,8
2023-06-02,13,155.87,9
2023-06-02,14,159.98,7
2023-06-02,15,182.45,10
2023-06-02,16,151.03,9
2023-06-02,17,213.47,12
2023-06-02,18,289.83,16
2023-06-02,19,251.97,13
2023-06-02,20,202.7,14
2023-06-02,21,200.48,8
2023-06-02,22,157.22,8
2023-06-02,23,169.33,7
