date,hour,avg_taxi_drivers,max_cluster_size
2019-12-25,00,285.0,24
2019-12-25,01,208.05,24
2019-12-25,02,156.97,19
2019-12-25,03,182.52,19
2019-12-25,04,158.43,21
2019-12-25,05,255.83,23
2019-12-25,06,345.83,28
2019-12-25,07,413.2,40
2019-12-25,08,364.72,37
2019-12-25,09,318.72,28
2019-12-25,10,367.52,25
2019-12-25,11,444.17,38
2019-12-25,12,427.9,28
2019-12-25,13,363.28,27
2019-12-25,14,341.17,30
2019-12-25,15,337.7,34
2019-12-25,16,285.62,34
2019-12-25,17,402.55,38
2019-12-25,18,466.58,41
2019-12-25,19,0,0
2019-12-25,20,325.53,30
2019-12-25,21,435.6,40
2019-12-25,22,0,0
2019-12-25,23,0,0
