date,hour,avg_taxi_drivers,max_cluster_size
2023-01-24,00,50.77,7
2023-01-24,01,34.02,9
2023-01-24,02,26.5,4
2023-01-24,03,23.87,3
2023-01-24,04,45.47,8
2023-01-24,05,108.92,7
2023-01-24,06,161.55,9
2023-01-24,07,199.17,13
2023-01-24,08,185.53,13
2023-01-24,09,181.43,10
2023-01-24,10,134.95,10
2023-01-24,11,125.32,9
2023-01-24,12,97.05,9
2023-01-24,13,86.5,5
2023-01-24,14,67.32,7
2023-01-24,15,90.23,8
2023-01-24,16,81.08,8
2023-01-24,17,92.55,9
2023-01-24,18,124.2,11
2023-01-24,19,114.07,11
2023-01-24,20,110.28,8
2023-01-24,21,112.75,8
2023-01-24,22,100.55,11
2023-01-24,23,130.28,16
