date,hour,avg_taxi_drivers,max_cluster_size
2023-08-09,00,237.88,20
2023-08-09,01,104.37,14
2023-08-09,02,82.4,9
2023-08-09,03,90.17,11
2023-08-09,04,91.37,10
2023-08-09,05,138.58,12
2023-08-09,06,205.12,18
2023-08-09,07,205.95,19
2023-08-09,08,197.33,19
2023-08-09,09,267.75,15
2023-08-09,10,284.72,21
2023-08-09,11,237.57,14
2023-08-09,12,207.73,14
2023-08-09,13,172.37,13
2023-08-09,14,211.37,13
2023-08-09,15,177.75,14
2023-08-09,16,96.45,10
2023-08-09,17,114.58,15
2023-08-09,18,135.73,10
2023-08-09,19,183.87,12
2023-08-09,20,144.25,13
2023-08-09,21,83.88,10
2023-08-09,22,96.43,9
2023-08-09,23,104.02,7
