date,hour,avg_taxi_drivers,max_cluster_size
2021-12-24,00,36.62,7
2021-12-24,01,16.42,6
2021-12-24,02,13.28,4
2021-12-24,03,19.82,4
2021-12-24,04,24.95,4
2021-12-24,05,51.55,9
2021-12-24,06,42.82,11
2021-12-24,07,33.97,10
2021-12-24,08,37.75,4
2021-12-24,09,23.5,3
2021-12-24,10,33.42,5
2021-12-24,11,32.33,5
2021-12-24,12,15.5,3
2021-12-24,13,17.03,3
2021-12-24,14,19.97,2
2021-12-24,15,23.32,4
2021-12-24,16,30.37,7
2021-12-24,17,34.57,5
2021-12-24,18,54.8,9
2021-12-24,19,80.85,12
2021-12-24,20,74.65,7
2021-12-24,21,75.03,10
2021-12-24,22,66.4,11
2021-12-24,23,45.83,9
