date,hour,avg_taxi_drivers,max_cluster_size
2023-07-09,00,72.73,4
2023-07-09,01,37.03,6
2023-07-09,02,38.95,6
2023-07-09,03,36.35,5
2023-07-09,04,45.02,5
2023-07-09,05,48.47,6
2023-07-09,06,37.97,4
2023-07-09,07,43.1,4
2023-07-09,08,56.08,4
2023-07-09,09,54.2,3
2023-07-09,10,52.9,4
2023-07-09,11,63.67,6
2023-07-09,12,54.98,5
2023-07-09,13,45.98,5
2023-07-09,14,49.73,5
2023-07-09,15,55.83,4
2023-07-09,16,53.4,6
2023-07-09,17,76.3,7
2023-07-09,18,79.23,6
2023-07-09,19,71.85,6
2023-07-09,20,63.32,5
2023-07-09,21,49.63,5
2023-07-09,22,64.95,4
2023-07-09,23,70.17,4
