date,time,cluster_size,address,day_type
2023-01-22,18:00:00,1,7-Eleven,holiday
2023-01-22,18:00:00,1,Ironside Link,holiday
2023-01-22,18:00:00,1,Sentosa Gateway,holiday
2023-01-22,18:01:00,1,Village Hotel @ Sentosa,holiday
2023-01-22,18:01:00,1,Resorts World Sentosa,holiday
2023-01-22,18:01:00,1,Sentosa Boardwalk,holiday
2023-01-22,18:01:00,1,Ironside Link,holiday
2023-01-22,18:02:00,1,Artillery Avenue,holiday
2023-01-22,18:02:00,1,Sentosa Gateway,holiday
2023-01-22,18:02:00,1,Ironside Link,holiday
2023-01-22,18:03:00,1,Fort Siloso,holiday
2023-01-22,18:03:00,1,Resorts World Sentosa,holiday
2023-01-22,18:03:00,1,Serapong Course,holiday
2023-01-22,18:04:00,1,Fort Siloso,holiday
2023-01-22,18:04:00,1,Serapong Course,holiday
2023-01-22,18:04:00,1,Serapong Course,holiday
2023-01-22,18:04:00,1,Artillery Avenue,holiday
2023-01-22,18:05:00,1,Siloso Road,holiday
2023-01-22,18:05:00,1,Sentosa Gateway,holiday
2023-01-22,18:05:00,2,Serapong Course,holiday
2023-01-22,18:05:00,1,Artillery Avenue,holiday
2023-01-22,18:05:00,1,Gateway Avenue,holiday
2023-01-22,18:05:00,1,ONE ̊15 Marina,holiday
2023-01-22,18:06:00,1,Siloso Road,holiday
2023-01-22,18:06:00,1,Artillery Avenue,holiday
2023-01-22,18:06:00,2,Serapong Course,holiday
2023-01-22,18:06:00,1,Allanbrooke Road,holiday
2023-01-22,18:07:00,1,Resorts World Sentosa,holiday
2023-01-22,18:07:00,1,Oasis Resort Sentosa,holiday
2023-01-22,18:07:00,1,7-Eleven,holiday
2023-01-22,18:07:00,1,Allanbrooke Road,holiday
2023-01-22,18:08:00,1,Resorts World Sentosa,holiday
2023-01-22,18:08:00,1,7-Eleven,holiday
2023-01-22,18:08:00,1,Artillery Avenue,holiday
2023-01-22,18:08:00,1,Serapong Course,holiday
2023-01-22,18:08:00,1,Artillery Avenue,holiday
2023-01-22,18:09:00,1,Resorts World Sentosa,holiday
2023-01-22,18:09:00,1,Beach View,holiday
2023-01-22,18:09:00,2,Sentosa Boardwalk,holiday
2023-01-22,18:09:00,1,Universal Studios Singapore,holiday
2023-01-22,18:09:00,1,Resorts World Sentosa,holiday
2023-01-22,18:09:00,1,Gateway Avenue,holiday
2023-01-22,18:09:00,1,Sentosa Gateway,holiday
2023-01-22,18:10:00,1,Beach View,holiday
2023-01-22,18:10:00,2,Sentosa Boardwalk,holiday
2023-01-22,18:10:00,1,Resorts World Sentosa,holiday
2023-01-22,18:10:00,1,Gateway Avenue,holiday
2023-01-22,18:10:00,1,Sentosa Gateway,holiday
2023-01-22,18:11:00,1,Siloso Beach Walk,holiday
2023-01-22,18:11:00,1,Serapong Course,holiday
2023-01-22,18:11:00,1,Gateway Avenue,holiday
2023-01-22,18:11:00,1,Sentosa Gateway,holiday
2023-01-22,18:11:00,1,Sentosa Gateway,holiday
2023-01-22,18:12:00,1,Beach Station Bus Terminal,holiday
2023-01-22,18:12:00,1,Beach Arrival Plaza,holiday
2023-01-22,18:12:00,1,Sentosa Gateway,holiday
2023-01-22,18:12:00,1,Gateway Avenue,holiday
2023-01-22,18:12:00,1,Gateway Avenue,holiday
2023-01-22,18:12:00,1,Serapong Course,holiday
2023-01-22,18:12:00,1,Allanbrooke Road,holiday
2023-01-22,18:13:00,1,Beach Station Bus Terminal,holiday
2023-01-22,18:13:00,1,Southern Islands,holiday
2023-01-22,18:13:00,1,Resorts World Sentosa,holiday
2023-01-22,18:13:00,3,Serapong Course,holiday
2023-01-22,18:13:00,1,Cove Way,holiday
2023-01-22,18:14:00,1,Beach Station Bus Terminal,holiday
2023-01-22,18:14:00,1,Resorts World Sentosa,holiday
2023-01-22,18:14:00,4,Serapong Course,holiday
2023-01-22,18:14:00,1,Cove Drive,holiday
2023-01-22,18:14:00,1,Cove Way,holiday
