id,time,taxi_count,queue_length,min_coordinate,max_coordinate,day_type
1,00.00.00,25,216.42171705760023,"1.35232, 103.98566","1.35413, 103.9864",weekday
2,00.01.00,34,213.53309517800105,"1.35232, 103.98568","1.35411, 103.9864",weekday
3,00.02.00,25,188.50155313206747,"1.35232, 103.98568","1.35389, 103.98634",weekday
4,00.03.00,17,132.28888301837156,"1.35232, 103.98564","1.35341, 103.98613",weekday
5,00.04.00,14,105.65968453758578,"1.35253, 103.98576","1.35341, 103.98613",weekday
6,00.05.00,15,127.45994337151373,"1.35235, 103.98568","1.35341, 103.98613",weekday
7,00.06.00,17,140.26323084658225,"1.35235, 103.98566","1.35351, 103.98617",weekday
8,00.07.00,0,0,0,0,weekday
9,00.08.00,8,71.36798261330182,"1.35262, 103.98577","1.35321, 103.98603",weekday
10,00.09.00,21,158.70720245073645,"1.35277, 103.98583","1.35409, 103.98639",weekday
11,00.10.00,10,63.39946040393244,"1.35355883333333, 103.9861755","1.35409, 103.98639",weekday
12,00.11.00,11,95.1970373097236,"1.35241, 103.98568","1.3532, 103.98602",weekday
13,00.12.00,11,66.03841773368542,"1.35349, 103.98613","1.35403983333333, 103.986361666667",weekday
14,00.13.00,19,148.39582097988364,"1.35285, 103.98588","1.35409, 103.98639",weekday
15,00.14.00,24,187.92248043213445,"1.35245, 103.98568","1.35401, 103.98635",weekday
16,00.15.00,7,39.13501587794668,"1.35245, 103.98568","1.35276516666667, 103.98584",weekday
17,00.16.00,8,47.27531529019889,"1.35273, 103.98622","1.35313, 103.98637",weekday
18,00.17.00,7,48.106344374827216,"1.35325, 103.98604","1.35365, 103.98621",weekday
19,00.18.00,11,79.535220328944,"1.35233, 103.98567","1.353, 103.98593",weekday
20,00.19.00,0,0,0,0,weekday
21,00.20.00,0,0,0,0,weekday
22,00.21.00,8,50.14718263855447,"1.35357, 103.98617","1.35399, 103.98634",weekday
23,00.22.00,0,0,0,0,weekday
24,00.23.00,0,0,0,0,weekday
25,00.24.00,7,43.60796198671094,"1.35344, 103.98612","1.3538, 103.98628",weekday
26,00.25.00,0,0,0,0,weekday
27,00.26.00,0,0,0,0,weekday
28,00.27.00,0,0,0,0,weekday
29,00.28.00,7,53.50248948084165,"1.35327, 103.98604","1.35371, 103.98624",weekday
30,00.29.00,0,0,0,0,weekday
31,00.30.00,9,73.98687627531478,"1.35231, 103.98566","1.35293, 103.98591",weekday
32,00.31.00,14,155.21966058114498,"1.35233, 103.98566","1.35362, 103.98621",weekday
33,00.32.00,12,93.12541381082542,"1.35298, 103.98593","1.35377, 103.98622",weekday
34,00.33.00,0,0,0,0,weekday
35,00.34.00,7,42.14795460407876,"1.35316, 103.986","1.35351, 103.98615",weekday
36,00.35.00,17,136.33080266967187,"1.3529, 103.9859","1.35403, 103.98639",weekday
37,00.36.00,0,0,0,0,weekday
38,00.37.00,11,88.80097730601373,"1.35336, 103.98608","1.3541, 103.98639",weekday
39,00.38.00,23,209.01664777840938,"1.35232, 103.98564","1.35407, 103.98635",weekday
40,00.39.00,11,76.77507789039645,"1.35236, 103.98564","1.35299, 103.98593",weekday
41,00.40.00,15,134.83313936568646,"1.35283, 103.98586","1.35397, 103.98629",weekday
42,00.41.00,10,71.51948282774084,"1.35233, 103.98566","1.35293, 103.9859",weekday
43,00.42.00,0,0,0,0,weekday
44,00.43.00,8,46.655733449077644,"1.35366, 103.98619","1.35405, 103.98635",weekday
45,00.44.00,18,151.1348267716658,"1.35283833333333, 103.985877666667","1.3541, 103.9864",weekday
46,00.45.00,16,110.77226746830064,"1.35231, 103.98564","1.35324, 103.98601",weekday
47,00.46.00,7,45.21302164738258,"1.35231, 103.98564","1.35269, 103.98579",weekday
48,00.47.00,0,0,0,0,weekday
49,00.48.00,9,39.12405039523576,"1.35283, 103.98585","1.35315, 103.986",weekday
50,00.49.00,15,154.20413134003766,"1.35232, 103.98564","1.3536, 103.98619",weekday
51,00.50.00,15,172.23467425437485,"1.35265, 103.98579","1.35409, 103.98638",weekday
52,00.51.00,17,169.60771061842323,"1.35233, 103.98564","1.35374, 103.98624",weekday
53,00.52.00,7,48.154828205249174,"1.35232, 103.98564","1.35272033333333, 103.985810333333",weekday
54,00.53.00,0,0,0,0,weekday
55,00.54.00,17,145.33633165875187,"1.35288, 103.98588","1.35409, 103.98639",weekday
56,00.55.00,0,0,0,0,weekday
57,00.56.00,14,92.8924336319339,"1.35245, 103.98572","1.35323, 103.98603",weekday
58,00.57.00,15,118.17411154580266,"1.35242, 103.9857","1.35341, 103.9861",weekday
59,00.58.00,9,61.20038392457057,"1.35352, 103.98615","1.35402666666667, 103.986371333333",weekday
60,00.59.00,18,132.40211170627137,"1.35294, 103.98591","1.35404, 103.98638",weekday
61,01.00.00,12,75.86631672376845,"1.35338, 103.98608","1.35401, 103.98635",weekday
62,01.01.00,21,190.39406884945726,"1.35254, 103.98571","1.35412, 103.98639",weekday
63,01.02.00,13,97.66877932070385,"1.35326, 103.98605","1.35407, 103.9864",weekday
64,01.03.00,0,0,0,0,weekday
65,01.04.00,7,38.85673313687095,"1.3529, 103.98588","1.35323, 103.986",weekday
66,01.05.00,0,0,0,0,weekday
67,01.06.00,10,67.22109333002122,"1.35314, 103.986","1.35371, 103.98621",weekday
68,01.07.00,0,0,0,0,weekday
69,01.08.00,0,0,0,0,weekday
70,01.09.00,0,0,0,0,weekday
71,01.10.00,0,0,0,0,weekday
72,01.11.00,0,0,0,0,weekday
73,01.12.00,0,0,0,0,weekday
74,01.13.00,0,0,0,0,weekday
75,01.14.00,0,0,0,0,weekday
76,01.15.00,0,0,0,0,weekday
77,01.16.00,0,0,0,0,weekday
78,01.17.00,0,0,0,0,weekday
79,01.18.00,0,0,0,0,weekday
80,01.19.00,0,0,0,0,weekday
81,01.20.00,0,0,0,0,weekday
82,01.21.00,0,0,0,0,weekday
83,01.22.00,0,0,0,0,weekday
84,01.23.00,0,0,0,0,weekday
85,01.24.00,0,0,0,0,weekday
86,01.25.00,0,0,0,0,weekday
87,01.26.00,0,0,0,0,weekday
88,01.27.00,0,0,0,0,weekday
89,01.28.00,0,0,0,0,weekday
90,01.29.00,0,0,0,0,weekday
91,01.30.00,0,0,0,0,weekday
92,01.31.00,0,0,0,0,weekday
93,01.32.00,0,0,0,0,weekday
94,01.33.00,0,0,0,0,weekday
95,01.34.00,0,0,0,0,weekday
