id,time,taxi_count,queue_length,min_coordinate,max_coordinate,day_type
1,00.00.00,0,0,0,0,weekday
2,00.01.00,0,0,0,0,weekday
3,00.02.00,7,57.99346875168309,"1.35235, 103.98567","1.35283, 103.98588",weekday
4,00.03.00,12,68.84744856487237,"1.35355, 103.98613","1.3541363, 103.986338233333",weekday
5,00.04.00,23,182.05334944448092,"1.3526, 103.98575","1.3541363, 103.986338233333",weekday
6,00.05.00,12,90.5222707509528,"1.35336, 103.98608","1.3541363, 103.986338233333",weekday
7,00.06.00,10,79.1026050348678,"1.35335, 103.9861","1.35406316666667, 103.986155816667",weekday
8,00.07.00,10,84.88301094882355,"1.35336, 103.9861","1.35407, 103.98639",weekday
9,00.08.00,0,0,0,0,weekday
10,00.09.00,0,0,0,0,weekday
11,00.10.00,0,0,0,0,weekday
12,00.11.00,0,0,0,0,weekday
13,00.12.00,0,0,0,0,weekday
14,00.13.00,7,37.060183954501795,"1.35324861666667, 103.98599545","1.35354, 103.98616",weekday
15,00.14.00,0,0,0,0,weekday
16,00.15.00,11,86.33100123409417,"1.35281, 103.98586","1.35353, 103.98616",weekday
17,00.16.00,0,0,0,0,weekday
18,00.17.00,0,0,0,0,weekday
19,00.18.00,9,71.51948118282714,"1.35279, 103.98586","1.35339, 103.9861",weekday
20,00.19.00,12,90.42604034678004,"1.35279, 103.98586","1.35355, 103.98616",weekday
21,00.20.00,11,88.37456954608845,"1.35281, 103.98585","1.35355, 103.98615",weekday
22,00.21.00,0,0,0,0,weekday
23,00.22.00,0,0,0,0,weekday
24,00.23.00,0,0,0,0,weekday
25,00.24.00,0,0,0,0,weekday
26,00.25.00,7,37.796791290747336,"1.35363716666667, 103.986160266667","1.35397226666667, 103.986227283333",weekday
27,00.26.00,18,117.15055203357143,"1.35291, 103.98591","1.35389, 103.98631",weekday
28,00.27.00,0,0,0,0,weekday
29,00.28.00,19,196.67857231879202,"1.35236, 103.98567","1.35401, 103.98633",weekday
30,00.29.00,18,205.36035805087187,"1.35236, 103.98567","1.35407, 103.98639",weekday
31,00.30.00,15,180.15437714016764,"1.35257668333333, 103.985742666667","1.35407, 103.98639",weekday
32,00.31.00,26,207.99337334920565,"1.35235, 103.98567","1.35409, 103.98638",weekday
33,00.32.00,22,188.78210856682938,"1.35235, 103.9857","1.35397468333333, 103.986221233333",weekday
34,00.33.00,9,56.57280487756534,"1.35257848333333, 103.9857427","1.35305, 103.98594",weekday
35,00.34.00,7,56.1070938598597,"1.35361, 103.9862","1.35408, 103.98639",weekday
36,00.35.00,14,126.02764524842198,"1.353036, 103.985935666667","1.35408, 103.98639",weekday
37,00.36.00,15,171.21294818460464,"1.35266, 103.9858","1.35409, 103.98639",weekday
38,00.37.00,0,0,0,0,weekday
39,00.38.00,11,78.47863026901476,"1.35324, 103.98601","1.3539193, 103.986214283333",weekday
40,00.39.00,9,58.57527636719706,"1.35304, 103.98595","1.35353, 103.98615",weekday
41,00.40.00,9,70.49494365239016,"1.35299, 103.98592","1.35358, 103.98616",weekday
42,00.41.00,8,53.63961232171776,"1.35233, 103.98564","1.35278, 103.98582",weekday
43,00.42.00,0,0,0,0,weekday
44,00.43.00,20,183.56115352375514,"1.35235, 103.98566","1.35388, 103.9863",weekday
45,00.44.00,14,112.5317787441366,"1.35312, 103.98597","1.35406573333333, 103.986343483333",weekday
46,00.45.00,18,162.63371806543196,"1.35237, 103.98564","1.35372, 103.98622",weekday
47,00.46.00,7,67.0037438047452,"1.35358, 103.98617","1.35414, 103.9864",weekday
48,00.47.00,0,0,0,0,weekday
49,00.48.00,0,0,0,0,weekday
50,00.49.00,7,49.12491820487941,"1.35294, 103.98591","1.35335, 103.98608",weekday
51,00.50.00,20,176.45705068483602,"1.35259, 103.98577","1.35406116666667, 103.986384333333",weekday
52,00.51.00,20,190.70760851349968,"1.35246, 103.98575","1.35409, 103.98631",weekday
53,00.52.00,0,0,0,0,weekday
54,00.53.00,14,110.61343581569643,"1.35257, 103.98577","1.35351, 103.98611",weekday
55,00.54.00,0,0,0,0,weekday
56,00.55.00,0,0,0,0,weekday
57,00.56.00,0,0,0,0,weekday
58,00.57.00,9,68.8953033914779,"1.35233, 103.98564","1.3529, 103.98589",weekday
59,00.58.00,0,0,0,0,weekday
60,00.59.00,9,61.65659118839448,"1.35311, 103.98597","1.35363, 103.98617",weekday
61,01.00.00,8,54.50995219958399,"1.35348, 103.98611","1.35393, 103.98631",weekday
62,01.01.00,0,0,0,0,weekday
63,01.02.00,8,63.09275498211413,"1.35349, 103.98613","1.35402, 103.98634",weekday
64,01.03.00,17,203.32597858363292,"1.35241, 103.98567","1.3541, 103.98639",weekday
65,01.04.00,11,77.90189170002219,"1.35269, 103.98579","1.35334, 103.98606",weekday
66,01.05.00,9,74.60700660473131,"1.35267, 103.9858","1.3533, 103.98604",weekday
67,01.06.00,10,77.4794378515205,"1.35279, 103.98582","1.35344, 103.98608",weekday
68,01.07.00,10,71.94250110630865,"1.35285, 103.98585","1.35345, 103.9861",weekday
69,01.08.00,0,0,0,0,weekday
70,01.09.00,14,164.09137094968239,"1.35273, 103.9858","1.35409, 103.98639",weekday
71,01.10.00,13,99.00951409107846,"1.35244513333333, 103.985693883333","1.35327, 103.98604",weekday
72,01.11.00,10,71.1113642766358,"1.35232, 103.98567","1.35292, 103.9859",weekday
73,01.12.00,0,0,0,0,weekday
74,01.13.00,7,54.06507873666643,"1.35357, 103.98616","1.35402, 103.98635",weekday
75,01.14.00,0,0,0,0,weekday
76,01.15.00,0,0,0,0,weekday
77,01.16.00,8,70.35861536212127,"1.3535, 103.98613","1.35408, 103.98639",weekday
78,01.17.00,8,49.56415748121461,"1.3528, 103.98582","1.35321, 103.986",weekday
79,01.18.00,0,0,0,0,weekday
80,01.19.00,0,0,0,0,weekday
81,01.20.00,9,57.9343281551869,"1.352973, 103.985938","1.35346, 103.98613",weekday
82,01.21.00,9,58.83224657215127,"1.3531, 103.985964","1.35359, 103.98617",weekday
83,01.22.00,12,102.76249039991465,"1.35273, 103.98582","1.35359, 103.98617",weekday
84,01.23.00,16,161.61938027721632,"1.35272, 103.98581","1.35406, 103.98639",weekday
85,01.24.00,8,77.33804088769399,"1.35272, 103.98581","1.35338, 103.98604",weekday
86,01.25.00,12,100.90893221103396,"1.35293, 103.98589","1.35378, 103.98622",weekday
87,01.26.00,13,101.15508992098808,"1.35311, 103.98595","1.35395, 103.98631",weekday
88,01.27.00,0,0,0,0,weekday
89,01.28.00,0,0,0,0,weekday
90,01.29.00,10,76.45480483204513,"1.35328, 103.98604","1.35392, 103.9863",weekday
91,01.30.00,16,178.8621877919274,"1.35232, 103.98564","1.35379833333333, 103.986292333333",weekday
92,01.31.00,16,204.0808280698004,"1.35232, 103.98564","1.35403, 103.98633",weekday
93,01.32.00,20,200.2814512780926,"1.35236, 103.98562","1.35402, 103.98634",weekday
94,01.33.00,0,0,0,0,weekday
95,01.34.00,15,191.13701582556982,"1.35242, 103.98568","1.35402, 103.98633",weekday
96,01.35.00,7,54.268992475191475,"1.35358, 103.98616","1.35404, 103.98633",weekday
97,01.36.00,7,51.49966191523151,"1.35359, 103.98615","1.35401, 103.98635",weekday
98,01.37.00,14,172.55194518220046,"1.35256303333333, 103.985769416667","1.35401, 103.98635",weekday
99,01.38.00,7,51.028551423935376,"1.35359, 103.98616","1.35401, 103.98635",weekday
100,01.39.00,15,170.33075164857516,"1.35265618333333, 103.985805883333","1.35408, 103.98639",weekday
101,01.40.00,0,0,0,0,weekday
102,01.41.00,0,0,0,0,weekday
103,01.42.00,0,0,0,0,weekday
104,01.43.00,9,73.98687544801147,"1.35253, 103.98572","1.35315, 103.98597",weekday
105,01.44.00,9,77.90189237149951,"1.35253, 103.98572","1.35318, 103.98599",weekday
106,01.45.00,8,55.83641416161322,"1.35288781666667, 103.985911","1.35337, 103.98606",weekday
107,01.46.00,0,0,0,0,weekday
108,01.47.00,0,0,0,0,weekday
109,01.48.00,0,0,0,0,weekday
110,01.49.00,0,0,0,0,weekday
111,01.50.00,0,0,0,0,weekday
112,01.51.00,10,68.25894620462627,"1.35297, 103.98592","1.35355, 103.98613",weekday
113,01.52.00,0,0,0,0,weekday
114,01.53.00,0,0,0,0,weekday
115,01.54.00,13,109.74652067111853,"1.35273, 103.9858","1.35365, 103.98617",weekday
116,01.55.00,7,55.97658727955929,"1.35265, 103.98577","1.35311, 103.98598",weekday
117,01.56.00,17,161.7632347134576,"1.3525, 103.98575","1.35385, 103.98631",weekday
118,01.57.00,14,115.9869320459676,"1.3529, 103.98588","1.35386, 103.9863",weekday
119,01.58.00,16,124.34500892458631,"1.35283, 103.98588","1.35388, 103.98628",weekday
120,01.59.00,7,46.24244425544398,"1.35277, 103.98582","1.35316, 103.98597",weekday
121,02.00.00,16,135.03003582822188,"1.35294, 103.98589","1.35407, 103.98635",weekday
122,02.01.00,17,142.4361588798277,"1.35287, 103.98586","1.35406, 103.98635",weekday
123,02.02.00,9,75.0126165346233,"1.35287, 103.98586","1.3535, 103.98611",weekday
124,02.03.00,8,42.80395239210401,"1.35370101666667, 103.986226083333","1.35406, 103.98637",weekday
125,02.04.00,16,133.58631126637056,"1.35288, 103.98586","1.354, 103.98631",weekday
126,02.05.00,9,80.97255225653542,"1.35287, 103.98586","1.35355, 103.98613",weekday
127,02.06.00,7,52.615484421059485,"1.35311, 103.98595","1.35355, 103.98613",weekday
128,02.07.00,0,0,0,0,weekday
129,02.08.00,9,57.76621637234472,"1.35306, 103.98594","1.35355, 103.98612",weekday
130,02.09.00,9,65.98321278716746,"1.35306, 103.98594","1.35361, 103.98617",weekday
131,02.10.00,10,67.00374564145915,"1.35306, 103.98593","1.35362, 103.98616",weekday
132,02.11.00,16,118.45945345404837,"1.35307, 103.98595","1.35405, 103.98638",weekday
133,02.12.00,8,60.192929867215035,"1.35355, 103.98615","1.35407, 103.98631",weekday
134,02.13.00,14,121.94397651567373,"1.35306, 103.98594","1.35407, 103.98638",weekday
135,02.14.00,15,113.42390365717357,"1.35314, 103.98595","1.35407, 103.98638",weekday
136,02.15.00,8,50.147183588652155,"1.3532, 103.98599","1.35362, 103.98616",weekday
137,02.16.00,8,56.45028183955953,"1.35315, 103.98595","1.35361, 103.98617",weekday
138,02.17.00,7,57.4486172753872,"1.35315, 103.98595","1.35362, 103.98617",weekday
139,02.18.00,0,0,0,0,weekday
140,02.19.00,9,55.08445172309105,"1.35315, 103.98598","1.35361, 103.98617",weekday
141,02.20.00,7,38.22740298786762,"1.35315, 103.98595","1.35347, 103.98608",weekday
142,02.21.00,0,0,0,0,weekday
143,02.22.00,7,52.130075631447724,"1.35353, 103.98611","1.35394625, 103.986329933333",weekday
144,02.23.00,0,0,0,0,weekday
145,02.24.00,9,69.51063148515145,"1.35339, 103.98606","1.35395888333333, 103.986325766667",weekday
146,02.25.00,8,51.59472740500037,"1.35339, 103.98606","1.35382, 103.98624",weekday
147,02.26.00,9,54.255422916075545,"1.35337, 103.98608","1.35384, 103.98622",weekday
148,02.27.00,8,56.45028100579132,"1.35336, 103.98604","1.35382, 103.98626",weekday
149,02.28.00,10,75.12804517260622,"1.35336, 103.98604","1.3539796, 103.986317",weekday
150,02.29.00,10,75.59150396125564,"1.35336, 103.98603","1.3539796, 103.986317",weekday
151,02.30.00,0,0,0,0,weekday
152,02.31.00,9,76.0864068045004,"1.35335, 103.98606","1.3539903, 103.986310366667",weekday
153,02.32.00,9,61.401035033002266,"1.35335, 103.98606","1.35385, 103.9863",weekday
154,02.33.00,8,48.98528336331346,"1.35337, 103.98608","1.35379, 103.98622",weekday
155,02.34.00,0,0,0,0,weekday
156,02.35.00,8,54.50995260123065,"1.35336, 103.98606","1.35381, 103.98626",weekday
157,02.36.00,0,0,0,0,weekday
158,02.37.00,0,0,0,0,weekday
159,02.38.00,0,0,0,0,weekday
160,02.39.00,0,0,0,0,weekday
161,02.40.00,0,0,0,0,weekday
162,02.41.00,0,0,0,0,weekday
163,02.42.00,0,0,0,0,weekday
164,02.43.00,0,0,0,0,weekday
165,02.44.00,0,0,0,0,weekday
166,02.45.00,0,0,0,0,weekday
167,02.46.00,0,0,0,0,weekday
168,02.47.00,0,0,0,0,weekday
169,02.48.00,0,0,0,0,weekday
170,02.49.00,0,0,0,0,weekday
171,02.50.00,0,0,0,0,weekday
172,02.51.00,0,0,0,0,weekday
173,02.52.00,0,0,0,0,weekday
174,02.53.00,0,0,0,0,weekday
175,02.54.00,0,0,0,0,weekday
176,02.55.00,0,0,0,0,weekday
177,02.56.00,0,0,0,0,weekday
178,02.57.00,0,0,0,0,weekday
179,02.58.00,0,0,0,0,weekday
180,02.59.00,0,0,0,0,weekday
181,03.00.00,0,0,0,0,weekday
182,03.01.00,0,0,0,0,weekday
183,03.02.00,0,0,0,0,weekday
184,03.03.00,0,0,0,0,weekday
185,03.04.00,0,0,0,0,weekday
186,03.05.00,0,0,0,0,weekday
187,03.06.00,0,0,0,0,weekday
188,03.07.00,0,0,0,0,weekday
189,03.08.00,0,0,0,0,weekday
190,03.09.00,0,0,0,0,weekday
191,03.10.00,0,0,0,0,weekday
192,03.11.00,0,0,0,0,weekday
