id,time,taxi_count,queue_length,min_coordinate,max_coordinate,day_type
1,00.00.00,19,172.96898448059076,"1.35265, 103.98577","1.35408, 103.9864",weekday
2,00.01.00,13,94.12335150164607,"1.35293, 103.98588","1.35368, 103.98628",weekday
3,00.02.00,18,124.98912783859716,"1.35304, 103.98595","1.35408, 103.98639",weekday
4,00.03.00,0,0,0,0,weekday
5,00.04.00,8,40.59118599131985,"1.35319, 103.98601","1.35354, 103.98612",weekday
6,00.05.00,0,0,0,0,weekday
7,00.06.00,0,0,0,0,weekday
8,00.07.00,10,63.34383447233187,"1.35328, 103.9861","1.35382, 103.98629",weekday
9,00.08.00,10,71.02817387276161,"1.35328, 103.9861","1.35389, 103.9863",weekday
10,00.09.00,19,195.54701178509896,"1.35233, 103.98568","1.35397166666667, 103.986333333333",weekday
11,00.10.00,25,195.30136881412596,"1.35233506666667, 103.985673416667","1.35397166666667, 103.986333333333",weekday
12,00.11.00,14,92.30014180205063,"1.35234001666667, 103.985669733333","1.35311, 103.98599",weekday
13,00.12.00,7,34.586918292431804,"1.352336, 103.985686833333","1.35264, 103.98576",weekday
14,00.13.00,0,0,0,0,weekday
15,00.14.00,9,69.9083035216264,"1.3527, 103.98579","1.35328, 103.98604",weekday
16,00.15.00,8,62.40143456346255,"1.35283, 103.98582","1.35333, 103.98608",weekday
17,00.16.00,12,101.74011714950811,"1.35236, 103.98565","1.35321, 103.986",weekday
18,00.17.00,13,118.37313345905,"1.35279, 103.9858","1.35376, 103.98625",weekday
19,00.18.00,9,65.65140161807577,"1.3530685, 103.9859815","1.35362, 103.9862",weekday
20,00.19.00,0,0,0,0,weekday
21,00.20.00,14,102.97191311350585,"1.3528, 103.98586","1.35367, 103.98619",weekday
22,00.21.00,0,0,0,0,weekday
23,00.22.00,0,0,0,0,weekday
24,00.23.00,0,0,0,0,weekday
25,00.24.00,9,61.65659127320747,"1.35308, 103.98595","1.3536, 103.98615",weekday
26,00.25.00,14,117.7954232017426,"1.352761, 103.985822666667","1.35374, 103.98624",weekday
27,00.26.00,11,83.03020153049314,"1.35245, 103.9857","1.35315, 103.98597",weekday
28,00.27.00,11,91.34624092306653,"1.35333, 103.98607","1.35412, 103.98631",weekday
29,00.28.00,13,86.20773690415092,"1.35342, 103.98608","1.35413, 103.9864",weekday
30,00.29.00,12,86.52550027427023,"1.35335, 103.98607","1.35408, 103.98635",weekday
31,00.30.00,23,199.83881393884943,"1.35243, 103.98567","1.35409, 103.98638",weekday
32,00.31.00,23,188.71116258167942,"1.35233, 103.98567","1.35393, 103.98626",weekday
33,00.32.00,0,0,0,0,weekday
34,00.33.00,20,200.8594879589099,"1.35232, 103.98603","1.3541, 103.98639",weekday
35,00.34.00,9,81.26055814223275,"1.35326, 103.98607","1.35393, 103.98637",weekday
36,00.35.00,16,138.70438689041697,"1.35279, 103.98585","1.35393, 103.98637",weekday
37,00.36.00,0,0,0,0,weekday
38,00.37.00,12,101.15508916774544,"1.35324, 103.98604","1.35408, 103.9864",weekday
39,00.38.00,0,0,0,0,weekday
40,00.39.00,7,30.700518309446263,"1.35311, 103.98595","1.35336, 103.98607",weekday
41,00.40.00,16,145.1364318719904,"1.35251, 103.98612","1.35381, 103.9863",weekday
42,00.41.00,17,151.97051566396883,"1.35244916666667, 103.986108833333","1.35381, 103.9863",weekday
