index,date,time,cluster_size,address,day_type
0,2023-05-28,15:01:00,1,Sentosa Gateway,weekend
1,2023-05-28,15:01:00,2,8 Sentosa Gateway,weekend
2,2023-05-28,15:01:00,5,Southern Islands,weekend
3,2023-05-28,15:01:00,1,Resorts World,weekend
4,2023-05-28,15:01:00,1,Garden Avenue,weekend
5,2023-05-28,15:01:00,1,Beach View Road,weekend
6,2023-05-28,15:01:00,2,Capella Hotel,weekend
7,2023-05-28,15:01:00,1,"Carpark (1.249570, 103.827800)",weekend
8,2023-05-28,15:01:00,1,Ocean Way,weekend
9,2023-05-28,15:02:00,1,Sentosa Gateway,weekend
10,2023-05-28,15:02:00,1,Gateway Avenue,weekend
11,2023-05-28,15:02:00,3,Southern Islands,weekend
12,2023-05-28,15:02:00,1,8 Sentosa Gateway,weekend
13,2023-05-28,15:02:00,2,Resorts World,weekend
14,2023-05-28,15:02:00,1,Beach View Road,weekend
15,2023-05-28,15:02:00,1,Artillery Avenue,weekend
16,2023-05-28,15:02:00,1,Capella Hotel,weekend
17,2023-05-28,15:02:00,1,"Carpark (1.249570, 103.827800)",weekend
18,2023-05-28,15:02:00,1,Sentosa Cove Village,weekend
19,2023-05-28,15:02:00,1,Ocean Way,weekend
20,2023-05-28,15:03:00,1,Sentosa Gateway,weekend
21,2023-05-28,15:03:00,1,Straits of Singapore,weekend
22,2023-05-28,15:03:00,1,8 Sentosa Gateway,weekend
23,2023-05-28,15:03:00,2,Gateway Avenue,weekend
24,2023-05-28,15:03:00,1,Southern Islands,weekend
25,2023-05-28,15:03:00,1,Resorts World,weekend
26,2023-05-28,15:03:00,1,Resorts World,weekend
27,2023-05-28,15:03:00,1,Siloso Road,weekend
28,2023-05-28,15:03:00,1,"Carpark (1.249570, 103.827800)",weekend
29,2023-05-28,15:03:00,1,Tanjong Beach Walk,weekend
30,2023-05-28,15:03:00,1,Cove Avenue,weekend
31,2023-05-28,15:03:00,1,Cove Avenue,weekend
32,2023-05-28,15:04:00,1,Sentosa Gateway,weekend
33,2023-05-28,15:04:00,1,Straits of Singapore,weekend
34,2023-05-28,15:04:00,1,Sentosa Gateway,weekend
35,2023-05-28,15:04:00,1,8 Sentosa Gateway,weekend
36,2023-05-28,15:04:00,1,8 Sentosa Gateway,weekend
37,2023-05-28,15:04:00,2,Southern Islands,weekend
38,2023-05-28,15:04:00,1,Siloso Road,weekend
39,2023-05-28,15:04:00,1,Resorts World,weekend
40,2023-05-28,15:04:00,1,Capella Hotel,weekend
41,2023-05-28,15:04:00,1,"Carpark (1.249570, 103.827800)",weekend
42,2023-05-28,15:04:00,1,Allanbrooke Road,weekend
43,2023-05-28,15:04:00,1,Cove Avenue,weekend
44,2023-05-28,15:04:00,1,The Coast at Sentosa Cove,weekend
45,2023-05-28,15:05:00,1,Straits of Singapore,weekend
46,2023-05-28,15:05:00,2,Southern Islands,weekend
47,2023-05-28,15:05:00,1,Siloso Road,weekend
48,2023-05-28,15:05:00,1,Resorts World,weekend
49,2023-05-28,15:05:00,1,Beach View Road,weekend
50,2023-05-28,15:05:00,2,Artillery Avenue,weekend
51,2023-05-28,15:05:00,1,"Carpark (1.249570, 103.827800)",weekend
52,2023-05-28,15:05:00,1,Cove Avenue,weekend
53,2023-05-28,15:05:00,1,The Coast at Sentosa Cove,weekend
54,2023-05-28,15:06:00,1,Straits of Singapore,weekend
55,2023-05-28,15:06:00,1,Straits of Singapore,weekend
56,2023-05-28,15:06:00,1,Gateway Avenue,weekend
57,2023-05-28,15:06:00,1,Southern Islands,weekend
58,2023-05-28,15:06:00,1,8 Sentosa Gateway,weekend
59,2023-05-28,15:06:00,1,Artillery Avenue,weekend
60,2023-05-28,15:06:00,1,"Carpark (1.249570, 103.827800)",weekend
61,2023-05-28,15:06:00,1,Tanjong Beach Walk,weekend
62,2023-05-28,15:06:00,1,Ocean Drive,weekend
63,2023-05-28,15:07:00,2,Sentosa Gateway,weekend
64,2023-05-28,15:07:00,1,Straits of Singapore,weekend
65,2023-05-28,15:07:00,2,Gateway Avenue,weekend
66,2023-05-28,15:07:00,2,Southern Islands,weekend
67,2023-05-28,15:07:00,1,Siloso Road,weekend
68,2023-05-28,15:07:00,1,"Carpark (1.249570, 103.827800)",weekend
69,2023-05-28,15:07:00,1,Tanjong Beach Walk,weekend
70,2023-05-28,15:07:00,1,Ocean Drive,weekend
71,2023-05-28,15:07:00,1,Ocean Drive,weekend
72,2023-05-28,15:08:00,2,Sentosa Gateway,weekend
73,2023-05-28,15:08:00,1,Sentosa Gateway,weekend
74,2023-05-28,15:08:00,1,Straits of Singapore,weekend
75,2023-05-28,15:08:00,2,Gateway Avenue,weekend
76,2023-05-28,15:08:00,1,Southern Islands,weekend
77,2023-05-28,15:08:00,1,8 Sentosa Gateway,weekend
78,2023-05-28,15:08:00,1,8 Sentosa Gateway,weekend
79,2023-05-28,15:08:00,1,Allanbrooke Road,weekend
80,2023-05-28,15:08:00,1,"Carpark (1.249570, 103.827800)",weekend
81,2023-05-28,15:08:00,1,Ocean Drive,weekend
82,2023-05-28,15:09:00,1,Sentosa Gateway,weekend
83,2023-05-28,15:09:00,1,Sentosa Gateway,weekend
84,2023-05-28,15:09:00,1,Straits of Singapore,weekend
85,2023-05-28,15:09:00,2,Gateway Avenue,weekend
86,2023-05-28,15:09:00,2,Southern Islands,weekend
87,2023-05-28,15:09:00,1,Shangri-La Rasa,weekend
88,2023-05-28,15:09:00,1,Capella Hotel,weekend
89,2023-05-28,15:09:00,1,"Carpark (1.249570, 103.827800)",weekend
