index,date,time,cluster_size,address,day_type
0,2023-05-28,22:01:00,1,Sentosa Gateway,weekend
1,2023-05-28,22:01:00,1,8 Sentosa Gateway,weekend
2,2023-05-28,22:01:00,1,Resorts World,weekend
3,2023-05-28,22:01:00,1,8 Sentosa Gateway,weekend
4,2023-05-28,22:01:00,1,Southern Islands,weekend
5,2023-05-28,22:01:00,1,Southern Islands,weekend
6,2023-05-28,22:01:00,1,Capella Hotel ,weekend
7,2023-05-28,22:01:00,1,Allanbrooke Road,weekend
8,2023-05-28,22:02:00,1,8 Sentosa Gateway,weekend
9,2023-05-28,22:02:00,1,Resorts World,weekend
10,2023-05-28,22:02:00,1,Allanbrooke Road,weekend
11,2023-05-28,22:02:00,1,Ocean Drive,weekend
12,2023-05-28,22:03:00,1,Straits of Singapore,weekend
13,2023-05-28,22:03:00,1,8 Sentosa Gateway,weekend
14,2023-05-28,22:03:00,2,Southern Islands,weekend
15,2023-05-28,22:03:00,1,Allanbrooke Road,weekend
16,2023-05-28,22:03:00,1,Sofitel Singapore Sentosa Resort & Spa,weekend
17,2023-05-28,22:03:00,1,Ocean Way,weekend
18,2023-05-28,22:04:00,2,Straits of Singapore,weekend
19,2023-05-28,22:04:00,1,8 Sentosa Gateway,weekend
20,2023-05-28,22:04:00,1,Southern Islands,weekend
21,2023-05-28,22:04:00,1,Capella Hotel ,weekend
22,2023-05-28,22:04:00,1,Allanbrooke Road,weekend
23,2023-05-28,22:04:00,1,Sofitel Singapore Sentosa Resort & Spa,weekend
24,2023-05-28,22:05:00,1,Sentosa Gateway,weekend
25,2023-05-28,22:05:00,1,8 Sentosa Gateway,weekend
26,2023-05-28,22:05:00,2,Southern Islands,weekend
27,2023-05-28,22:05:00,1,Capella Hotel ,weekend
28,2023-05-28,22:05:00,1,Allanbrooke Road,weekend
29,2023-05-28,22:05:00,1,Allanbrooke Road,weekend
30,2023-05-28,22:05:00,1,Bukit Manis Road,weekend
31,2023-05-28,22:06:00,1,8 Sentosa Gateway,weekend
32,2023-05-28,22:06:00,3,Southern Islands,weekend
33,2023-05-28,22:06:00,1,Capella Hotel ,weekend
34,2023-05-28,22:06:00,1,Allanbrooke Road,weekend
35,2023-05-28,22:06:00,1,Allanbrooke Road,weekend
36,2023-05-28,22:07:00,1,Sentosa Gateway,weekend
37,2023-05-28,22:07:00,1,8 Sentosa Gateway,weekend
38,2023-05-28,22:07:00,1,Southern Islands,weekend
39,2023-05-28,22:07:00,1,Gateway Avenue,weekend
40,2023-05-28,22:07:00,1,Capella Hotel ,weekend
41,2023-05-28,22:07:00,1,Allanbrooke Road,weekend
42,2023-05-28,22:07:00,1,Bukit Manis Road,weekend
43,2023-05-28,22:08:00,1,Sentosa Gateway,weekend
44,2023-05-28,22:08:00,1,8 Sentosa Gateway,weekend
45,2023-05-28,22:08:00,1,Southern Islands,weekend
46,2023-05-28,22:08:00,1,Capella Hotel ,weekend
47,2023-05-28,22:08:00,1,Allanbrooke Road,weekend
48,2023-05-28,22:08:00,1,Bukit Manis Road,weekend
49,2023-05-28,22:09:00,2,Gateway Avenue,weekend
50,2023-05-28,22:09:00,1,Capella Hotel ,weekend
51,2023-05-28,22:09:00,1,Allanbrooke Road,weekend
52,2023-05-28,22:10:00,2,Gateway Avenue,weekend
53,2023-05-28,22:10:00,1,Capella Hotel ,weekend
54,2023-05-28,22:10:00,1,Ocean Drive,weekend
55,2023-05-28,22:11:00,1,Sentosa Gateway,weekend
56,2023-05-28,22:11:00,1,8 Sentosa Gateway,weekend
57,2023-05-28,22:11:00,1,Southern Islands,weekend
58,2023-05-28,22:11:00,1,Capella Hotel ,weekend
59,2023-05-28,22:11:00,1,Ocean Drive,weekend
60,2023-05-28,22:12:00,1,Straits of Singapore,weekend
61,2023-05-28,22:12:00,2,Gateway Avenue,weekend
62,2023-05-28,22:12:00,1,Capella Hotel ,weekend
63,2023-05-28,22:13:00,1,8 Sentosa Gateway,weekend
64,2023-05-28,22:13:00,1,Gateway Avenue,weekend
65,2023-05-28,22:13:00,1,Beach View Road,weekend
66,2023-05-28,22:13:00,3,Capella Hotel ,weekend
67,2023-05-28,22:14:00,1,Artillery Avenue,weekend
68,2023-05-28,22:14:00,2,Capella Hotel ,weekend
69,2023-05-28,22:14:00,1,Capella Hotel ,weekend
70,2023-05-28,22:15:00,1,Straits of Singapore,weekend
71,2023-05-28,22:15:00,1,8 Sentosa Gateway,weekend
72,2023-05-28,22:15:00,1,Gateway Avenue,weekend
73,2023-05-28,22:15:00,1,Capella Hotel ,weekend
74,2023-05-28,22:15:00,1,Allanbrooke Road,weekend
75,2023-05-28,22:16:00,1,Sentosa Gateway,weekend
76,2023-05-28,22:16:00,1,Artillery Avenue,weekend
77,2023-05-28,22:16:00,1,Straits of Singapore,weekend
78,2023-05-28,22:16:00,2,8 Sentosa Gateway,weekend
79,2023-05-28,22:16:00,1,Southern Islands,weekend
80,2023-05-28,22:16:00,1,Capella Hotel ,weekend
81,2023-05-28,22:17:00,1,Artillery Avenue,weekend
82,2023-05-28,22:17:00,2,8 Sentosa Gateway,weekend
83,2023-05-28,22:17:00,1,Southern Islands,weekend
84,2023-05-28,22:17:00,1,Capella Hotel ,weekend
85,2023-05-28,22:18:00,1,Sentosa Gateway,weekend
86,2023-05-28,22:18:00,2,8 Sentosa Gateway,weekend
87,2023-05-28,22:18:00,2,Southern Islands,weekend
88,2023-05-28,22:18:00,1,8 Sentosa Gateway,weekend
89,2023-05-28,22:18:00,1,Artillery Avenue,weekend
90,2023-05-28,22:18:00,1,Capella Hotel ,weekend
91,2023-05-28,22:19:00,1,Straits of Singapore,weekend
92,2023-05-28,22:19:00,1,Gateway Avenue,weekend
93,2023-05-28,22:19:00,1,Southern Islands,weekend
94,2023-05-28,22:19:00,1,Artillery Avenue,weekend
95,2023-05-28,22:19:00,1,Capella Hotel ,weekend
96,2023-05-28,22:20:00,1,Sentosa Gateway,weekend
97,2023-05-28,22:20:00,1,Straits of Singapore,weekend
98,2023-05-28,22:20:00,1,8 Sentosa Gateway,weekend
99,2023-05-28,22:20:00,1,Southern Islands,weekend
100,2023-05-28,22:20:00,1,Artillery Avenue,weekend
101,2023-05-28,22:20:00,1,Capella Hotel ,weekend
102,2023-05-28,22:20:00,1,Allanbrooke Road,weekend
103,2023-05-28,22:21:00,1,Sentosa Gateway,weekend
104,2023-05-28,22:21:00,1,Straits of Singapore,weekend
105,2023-05-28,22:21:00,1,Gateway Avenue,weekend
106,2023-05-28,22:21:00,1,8 Sentosa Gateway,weekend
107,2023-05-28,22:21:00,1,Gateway Avenue,weekend
108,2023-05-28,22:21:00,1,Artillery Avenue,weekend
109,2023-05-28,22:21:00,1,Capella Hotel ,weekend
110,2023-05-28,22:22:00,1,Shangri-La Rasa,weekend
111,2023-05-28,22:22:00,1,8 Sentosa Gateway,weekend
112,2023-05-28,22:22:00,1,Gateway Avenue,weekend
113,2023-05-28,22:22:00,1,Capella Hotel ,weekend
114,2023-05-28,22:22:00,1,Sentosa Cove Village,weekend
115,2023-05-28,22:23:00,1,Sentosa Gateway,weekend
116,2023-05-28,22:23:00,1,Straits of Singapore,weekend
117,2023-05-28,22:23:00,1,Interactive Kiosk,weekend
118,2023-05-28,22:23:00,2,Shangri-La Rasa,weekend
119,2023-05-28,22:23:00,1,Artillery Avenue,weekend
120,2023-05-28,22:23:00,1,8 Sentosa Gateway,weekend
121,2023-05-28,22:23:00,1,Gateway Avenue,weekend
122,2023-05-28,22:23:00,1,Capella Hotel ,weekend
123,2023-05-28,22:24:00,1,Straits of Singapore,weekend
124,2023-05-28,22:24:00,1,Interactive Kiosk,weekend
125,2023-05-28,22:24:00,1,Shangri-La Rasa,weekend
126,2023-05-28,22:24:00,1,8 Sentosa Gateway,weekend
127,2023-05-28,22:24:00,1,Southern Islands,weekend
128,2023-05-28,22:24:00,1,8 Sentosa Gateway,weekend
129,2023-05-28,22:24:00,2,Capella Hotel ,weekend
130,2023-05-28,22:25:00,1,Sentosa Gateway,weekend
131,2023-05-28,22:25:00,1,Siloso Road,weekend
132,2023-05-28,22:25:00,1,8 Sentosa Gateway,weekend
133,2023-05-28,22:25:00,1,Southern Islands,weekend
134,2023-05-28,22:25:00,1,8 Sentosa Gateway,weekend
135,2023-05-28,22:25:00,2,Capella Hotel ,weekend
136,2023-05-28,22:25:00,1,Allanbrooke Road,weekend
137,2023-05-28,22:26:00,1,Siloso Road,weekend
138,2023-05-28,22:26:00,1,Southern Islands,weekend
139,2023-05-28,22:26:00,1,8 Sentosa Gateway,weekend
140,2023-05-28,22:26:00,1,8 Sentosa Gateway,weekend
141,2023-05-28,22:26:00,2,Capella Hotel ,weekend
142,2023-05-28,22:26:00,1,Allanbrooke Road,weekend
143,2023-05-28,22:27:00,1,8 Sentosa Gateway,weekend
144,2023-05-28,22:27:00,1,Southern Islands,weekend
145,2023-05-28,22:27:00,1,Artillery Avenue,weekend
146,2023-05-28,22:27:00,1,Artillery Avenue,weekend
147,2023-05-28,22:27:00,2,Capella Hotel ,weekend
148,2023-05-28,22:27:00,1,Allanbrooke Road,weekend
149,2023-05-28,22:28:00,2,Southern Islands,weekend
150,2023-05-28,22:28:00,1,8 Sentosa Gateway,weekend
151,2023-05-28,22:28:00,1,8 Sentosa Gateway,weekend
152,2023-05-28,22:28:00,1,8 Sentosa Gateway,weekend
153,2023-05-28,22:28:00,1,Capella Hotel ,weekend
154,2023-05-28,22:29:00,1,Straits of Singapore,weekend
155,2023-05-28,22:29:00,1,Straits of Singapore,weekend
156,2023-05-28,22:29:00,1,Southern Islands,weekend
157,2023-05-28,22:29:00,1,8 Sentosa Gateway,weekend
