index,date,time,cluster_size,address,day_type
0,2023-05-28,14:01:00,1,Straits of Singapore,weekend
1,2023-05-28,14:01:00,1,Straits of Singapore,weekend
2,2023-05-28,14:01:00,1,8 Sentosa Gateway,weekend
3,2023-05-28,14:01:00,2,8 Sentosa Gateway,weekend
4,2023-05-28,14:01:00,1,Gateway Avenue,weekend
5,2023-05-28,14:01:00,1,Interactive Kiosk,weekend
6,2023-05-28,14:01:00,1,Resorts World,weekend
7,2023-05-28,14:01:00,1,Resorts World,weekend
8,2023-05-28,14:01:00,1,Imbiah Road,weekend
9,2023-05-28,14:01:00,1,Artillery Avenue,weekend
10,2023-05-28,14:01:00,2,Capella Hotel,weekend
11,2023-05-28,14:01:00,1,Artillery Avenue,weekend
12,2023-05-28,14:01:00,1,Cove Drive,weekend
13,2023-05-28,14:02:00,1,Sentosa Gateway,weekend
14,2023-05-28,14:02:00,1,Straits of Singapore,weekend
15,2023-05-28,14:02:00,1,Straits of Singapore,weekend
16,2023-05-28,14:02:00,1,Straits of Singapore,weekend
17,2023-05-28,14:02:00,2,Gateway Avenue,weekend
18,2023-05-28,14:02:00,2,8 Sentosa Gateway,weekend
19,2023-05-28,14:02:00,1,Equarius Hotel and Villas,weekend
20,2023-05-28,14:02:00,1,Resorts World,weekend
21,2023-05-28,14:02:00,1,Siloso Road,weekend
22,2023-05-28,14:02:00,2,Resorts World,weekend
23,2023-05-28,14:02:00,1,Artillery Avenue,weekend
24,2023-05-28,14:02:00,1,Artillery Avenue,weekend
25,2023-05-28,14:02:00,1,Cove Drive,weekend
26,2023-05-28,14:02:00,1,W Hotel/Quayside Isle,weekend
27,2023-05-28,14:03:00,2,Straits of Singapore,weekend
28,2023-05-28,14:03:00,1,Southern Islands,weekend
29,2023-05-28,14:03:00,1,Gateway Avenue,weekend
30,2023-05-28,14:03:00,1,Gateway Avenue,weekend
31,2023-05-28,14:03:00,1,Artillery Avenue,weekend
32,2023-05-28,14:03:00,1,Equarius Hotel and Villas,weekend
33,2023-05-28,14:03:00,1,Resorts World,weekend
34,2023-05-28,14:03:00,1,Siloso Beach View,weekend
35,2023-05-28,14:03:00,2,Capella Hotel,weekend
36,2023-05-28,14:03:00,1,Quayside Isle,weekend
37,2023-05-28,14:03:00,1,Sentosa Cove Village,weekend
