hour,taxi_counts
00,3214078
01,3204566
02,2926178
03,2806852
04,2847544
05,2806191
06,2785372
07,2880100
08,2958584
09,3419257
10,3471101
11,3512210
12,3359011
13,3295499
14,3216746
15,3425126
16,3205433
17,3074439
18,3072570
19,3431826
20,3713661
21,3634866
22,3514713
23,3665485
