hour,taxi_counts
00,3485201
01,3457308
02,3227184
03,3020079
04,2966273
05,3039090
06,2950760
07,3140330
08,3217962
09,3700175
10,3654597
11,3481931
12,3340510
13,3305236
14,3457347
15,3699686
16,3446275
17,3239880
18,3078501
19,3547569
20,3758065
21,3616611
22,3597174
23,3789569
