hour,taxi_counts
00,2980593
01,2981081
02,2789640
03,2570482
04,2589542
05,2656697
06,2783586
07,2957189
08,2799490
09,3186718
10,3206591
11,3068122
12,3045685
13,3079498
14,3268631
15,3489571
16,3322312
17,2983477
18,2976727
19,3296577
20,3454165
21,3340286
22,3286829
23,3292128
