hour,taxi_counts
00,2624008
01,2614393
02,2413096
03,2245295
04,2149991
05,2099744
06,2110863
07,2332459
08,2404021
09,2820913
10,2889467
11,2815518
12,2697667
13,2661243
14,2626399
15,2820394
16,2692747
17,2446566
18,2396469
19,2954817
20,3230997
21,3122491
22,3018339
23,3089653
