date,hour,avg_taxi_drivers,max_cluster_size
2021-07-14,00,19.57,16
2021-07-14,01,23.35,22
2021-07-14,02,23.9,26
2021-07-14,03,17.82,14
2021-07-14,04,12.43,9
2021-07-14,05,12.68,9
2021-07-14,06,10.45,4
2021-07-14,07,9.97,4
2021-07-14,08,10.64,4
2021-07-14,09,11.23,4
2021-07-14,10,10.12,4
2021-07-14,11,13.32,8
2021-07-14,12,10.97,8
2021-07-14,13,14.17,11
2021-07-14,14,12.73,7
2021-07-14,15,9.82,7
2021-07-14,16,13.52,9
2021-07-14,17,13.93,12
2021-07-14,18,9.95,7
2021-07-14,19,22.02,13
2021-07-14,20,25.75,16
2021-07-14,21,16.32,20
2021-07-14,22,17.58,22
2021-07-14,23,12.95,10
