date,hour,avg_taxi_drivers,max_cluster_size
2023-03-18,00,11.78,6
2023-03-18,01,11.92,10
2023-03-18,02,8.25,6
2023-03-18,03,8.8,6
2023-03-18,04,6.67,5
2023-03-18,05,7.55,5
2023-03-18,06,6.0,2
2023-03-18,07,6.7,4
2023-03-18,08,10.3,3
2023-03-18,09,10.32,4
2023-03-18,10,19.4,7
2023-03-18,11,22.82,10
2023-03-18,12,18.35,7
2023-03-18,13,14.5,10
2023-03-18,14,13.5,6
2023-03-18,15,12.73,5
2023-03-18,16,10.6,4
2023-03-18,17,9.22,3
2023-03-18,18,11.35,5
2023-03-18,19,16.4,6
2023-03-18,20,13.47,7
2023-03-18,21,10.92,5
2023-03-18,22,8.68,4
2023-03-18,23,8.5,3
