date,hour,avg_taxi_drivers,max_cluster_size
2022-12-03,00,9.32,3
2022-12-03,01,4.88,4
2022-12-03,02,3.93,3
2022-12-03,03,2.79,3
2022-12-03,04,3.73,3
2022-12-03,05,3.47,2
2022-12-03,06,3.75,2
2022-12-03,07,7.17,3
2022-12-03,08,6.82,3
2022-12-03,09,11.23,4
2022-12-03,10,17.68,6
2022-12-03,11,16.25,8
2022-12-03,12,12.93,5
2022-12-03,13,12.3,6
2022-12-03,14,12.23,7
2022-12-03,15,11.4,6
2022-12-03,16,8.62,6
2022-12-03,17,9.82,3
2022-12-03,18,11.18,6
2022-12-03,19,11.7,6
2022-12-03,20,13.48,4
2022-12-03,21,16.33,6
2022-12-03,22,13.37,4
2022-12-03,23,15.27,5
