date,hour,avg_taxi_drivers,max_cluster_size
2021-10-23,00,28.15,20
2021-10-23,01,18.92,17
2021-10-23,02,15.23,14
2021-10-23,03,8.1,9
2021-10-23,04,6.88,7
2021-10-23,05,7.57,6
2021-10-23,06,5.33,3
2021-10-23,07,5.5,2
2021-10-23,08,7.6,3
2021-10-23,09,9.73,3
2021-10-23,10,11.75,6
2021-10-23,11,11.57,9
2021-10-23,12,11.8,7
2021-10-23,13,15.02,8
2021-10-23,14,16.1,10
2021-10-23,15,23.63,11
2021-10-23,16,13.97,6
2021-10-23,17,13.38,8
2021-10-23,18,18.25,14
2021-10-23,19,21.1,18
2021-10-23,20,24.5,16
2021-10-23,21,17.38,14
2021-10-23,22,10.9,12
2021-10-23,23,7.24,7
