date,hour,avg_taxi_drivers,max_cluster_size
2023-02-01,00,7.1,5
2023-02-01,01,5.33,3
2023-02-01,02,5.95,4
2023-02-01,03,3.6,3
2023-02-01,04,3.23,3
2023-02-01,05,7.32,5
2023-02-01,06,6.65,6
2023-02-01,07,9.77,4
2023-02-01,08,10.05,4
2023-02-01,09,12.63,8
2023-02-01,10,12.12,8
2023-02-01,11,15.08,10
2023-02-01,12,13.65,5
2023-02-01,13,14.72,7
2023-02-01,14,9.57,4
2023-02-01,15,10.7,4
2023-02-01,16,13.1,5
2023-02-01,17,10.45,6
2023-02-01,18,8.15,4
2023-02-01,19,6.63,5
2023-02-01,20,8.78,4
2023-02-01,21,5.48,3
2023-02-01,22,5.55,4
2023-02-01,23,4.2,4
