date,hour,avg_taxi_drivers,max_cluster_size
2023-04-11,00,13.28,13
2023-04-11,01,16.9,15
2023-04-11,02,14.75,10
2023-04-11,03,10.22,11
2023-04-11,04,7.02,4
2023-04-11,05,7.53,5
2023-04-11,06,6.02,3
2023-04-11,07,6.43,3
2023-04-11,08,4.2,3
2023-04-11,09,10.03,5
2023-04-11,10,15.6,6
2023-04-11,11,17.38,9
2023-04-11,12,13.97,6
2023-04-11,13,12.23,6
2023-04-11,14,13.62,5
2023-04-11,15,15.75,7
2023-04-11,16,11.0,6
2023-04-11,17,8.83,3
2023-04-11,18,8.77,4
2023-04-11,19,16.73,9
2023-04-11,20,14.5,6
2023-04-11,21,16.52,6
2023-04-11,22,10.78,4
2023-04-11,23,15.93,9
