date,hour,avg_taxi_drivers,max_cluster_size
2023-03-06,00,2.05,3
2023-03-06,01,3.47,3
2023-03-06,02,1.92,2
2023-03-06,03,2.18,2
2023-03-06,04,2.54,2
2023-03-06,05,1.8,2
2023-03-06,06,1.57,2
2023-03-06,07,1.62,1
2023-03-06,08,1.41,2
2023-03-06,09,2.46,2
2023-03-06,10,6.42,3
2023-03-06,11,6.98,5
2023-03-06,12,5.15,5
2023-03-06,13,4.67,6
2023-03-06,14,3.03,3
2023-03-06,15,3.67,2
2023-03-06,16,3.1,2
2023-03-06,17,2.72,2
2023-03-06,18,2.09,2
2023-03-06,19,4.02,4
2023-03-06,20,3.73,4
2023-03-06,21,3.68,3
2023-03-06,22,2.33,2
2023-03-06,23,4.35,3
