date,hour,avg_taxi_drivers,max_cluster_size
2023-06-29,00,7.53,5
2023-06-29,01,3.18,6
2023-06-29,02,3.8,3
2023-06-29,03,2.09,2
2023-06-29,04,2.65,2
2023-06-29,05,4.1,2
2023-06-29,06,2.73,1
2023-06-29,07,3.73,2
2023-06-29,08,3.97,2
2023-06-29,09,6.6,4
2023-06-29,10,10.18,9
2023-06-29,11,14.38,7
2023-06-29,12,12.55,8
2023-06-29,13,12.93,8
2023-06-29,14,12.03,5
2023-06-29,15,8.6,3
2023-06-29,16,9.13,3
2023-06-29,17,7.2,3
2023-06-29,18,5.88,6
2023-06-29,19,8.28,4
2023-06-29,20,7.23,3
2023-06-29,21,7.42,3
2023-06-29,22,7.62,4
2023-06-29,23,9.33,8
