date,hour,avg_taxi_drivers,max_cluster_size
2023-01-24,00,4.27,5
2023-01-24,01,5.14,4
2023-01-24,02,4.6,5
2023-01-24,03,3.77,3
2023-01-24,04,3.22,3
2023-01-24,05,3.59,3
2023-01-24,06,4.68,4
2023-01-24,07,4.27,3
2023-01-24,08,4.92,3
2023-01-24,09,6.55,4
2023-01-24,10,9.85,6
2023-01-24,11,14.85,10
2023-01-24,12,9.8,7
2023-01-24,13,6.92,6
2023-01-24,14,6.18,4
2023-01-24,15,5.32,3
2023-01-24,16,6.68,5
2023-01-24,17,4.82,3
2023-01-24,18,6.92,4
2023-01-24,19,9.82,8
2023-01-24,20,9.07,6
2023-01-24,21,10.4,4
2023-01-24,22,12.3,6
2023-01-24,23,15.5,8
