date,hour,avg_taxi_drivers,max_cluster_size
2023-07-29,00,6.12,4
2023-07-29,01,5.0,3
2023-07-29,02,6.17,4
2023-07-29,03,2.7,3
2023-07-29,04,5.95,3
2023-07-29,05,6.73,4
2023-07-29,06,5.33,3
2023-07-29,07,7.83,3
2023-07-29,08,8.47,3
2023-07-29,09,10.2,7
2023-07-29,10,6.08,6
2023-07-29,11,3.8,3
2023-07-29,12,4.29,2
2023-07-29,13,3.98,2
2023-07-29,14,4.25,3
2023-07-29,15,4.3,3
2023-07-29,16,3.63,3
2023-07-29,17,10.29,10
2023-07-29,18,21.58,18
2023-07-29,19,13.07,5
2023-07-29,20,12.88,5
2023-07-29,21,12.32,6
2023-07-29,22,12.03,6
2023-07-29,23,11.72,5
