date,hour,avg_taxi_drivers,max_cluster_size
2023-01-22,00,10.1,11
2023-01-22,01,6.8,5
2023-01-22,02,8.28,5
2023-01-22,03,5.55,5
2023-01-22,04,5.02,3
2023-01-22,05,3.43,3
2023-01-22,06,2.53,2
2023-01-22,07,4.27,3
2023-01-22,08,2.08,2
2023-01-22,09,3.73,2
2023-01-22,10,11.33,4
2023-01-22,11,8.48,7
2023-01-22,12,5.98,4
2023-01-22,13,4.56,3
2023-01-22,14,5.77,3
2023-01-22,15,4.47,2
2023-01-22,16,2.93,2
2023-01-22,17,2.53,1
2023-01-22,18,5.45,4
2023-01-22,19,5.83,3
2023-01-22,20,5.58,3
2023-01-22,21,6.07,4
2023-01-22,22,7.13,6
2023-01-22,23,6.12,6
