date,hour,avg_taxi_drivers,max_cluster_size
2023-05-29,00,7.0,6
2023-05-29,01,8.03,7
2023-05-29,02,11.47,10
2023-05-29,03,3.0,3
2023-05-29,04,4.75,3
2023-05-29,05,4.7,4
2023-05-29,06,4.65,2
2023-05-29,07,5.95,3
2023-05-29,08,4.74,2
2023-05-29,09,5.97,4
2023-05-29,10,10.15,8
2023-05-29,11,15.23,8
2023-05-29,12,15.53,5
2023-05-29,13,11.87,5
2023-05-29,14,8.78,4
2023-05-29,15,8.87,4
2023-05-29,16,8.28,3
2023-05-29,17,5.7,3
2023-05-29,18,6.05,3
2023-05-29,19,9.23,6
2023-05-29,20,4.0,2
2023-05-29,21,4.49,3
2023-05-29,22,5.33,4
2023-05-29,23,8.7,5
