date,time,address,frequency
2023-06-29,00,Allanbrooke Road,56
2023-06-29,00,Gateway Avenue,46
2023-06-29,00,Ironside Link,46
2023-06-29,00,Sentosa Gateway,43
2023-06-29,00,Resorts World Sentosa,42
2023-06-29,01,Gateway Avenue,33
2023-06-29,01,Sentosa Gateway,26
2023-06-29,01,Ironside Link,18
2023-06-29,01,Resorts World Sentosa,18
2023-06-29,01,Serapong Course,14
2023-06-29,02,Gateway Avenue,35
2023-06-29,02,Resorts World Sentosa,34
2023-06-29,02,Sentosa Gateway,32
2023-06-29,02,Allanbrooke Road,28
2023-06-29,02,Serapong Course,20
2023-06-29,03,Allanbrooke Road,40
2023-06-29,03,Gateway Avenue,15
2023-06-29,03,Serapong Course,14
2023-06-29,03,Resorts World Sentosa,11
2023-06-29,03,Sentosa Gateway,10
2023-06-29,04,Ironside Link,38
2023-06-29,04,Allanbrooke Road,32
2023-06-29,04,Sentosa Gateway,19
2023-06-29,04,Resorts World Sentosa,11
2023-06-29,04,Gateway Avenue,10
2023-06-29,05,Ironside Link,60
2023-06-29,05,Allanbrooke Road,43
2023-06-29,05,Ocean Way,34
2023-06-29,05,Gateway Avenue,17
2023-06-29,05,Sentosa Gateway,15
2023-06-29,06,Ironside Link,60
2023-06-29,06,Resorts World Sentosa,25
2023-06-29,06,Gateway Avenue,15
2023-06-29,06,Artillery Avenue,11
2023-06-29,06,Sentosa Gateway,8
2023-06-29,07,Ironside Link,58
2023-06-29,07,Gateway Avenue,21
2023-06-29,07,Sentosa Gateway,17
2023-06-29,07,Ocean Way,14
2023-06-29,07,Artillery Avenue,10
2023-06-29,08,Ironside Link,54
2023-06-29,08,Gateway Avenue,38
2023-06-29,08,Sentosa Gateway,31
2023-06-29,08,Resorts World Sentosa,18
2023-06-29,08,Artillery Avenue,12
2023-06-29,09,Sentosa Gateway,63
2023-06-29,09,Resorts World Sentosa,61
2023-06-29,09,Gateway Avenue,40
2023-06-29,09,Sentosa Boardwalk,34
2023-06-29,09,Serapong Course,24
2023-06-29,10,Resorts World Sentosa,108
2023-06-29,10,Sentosa Gateway,84
2023-06-29,10,Gateway Avenue,57
2023-06-29,10,Serapong Course,48
2023-06-29,10,Sentosa Boardwalk,34
2023-06-29,11,Sentosa Gateway,135
2023-06-29,11,Resorts World Sentosa,127
2023-06-29,11,Gateway Avenue,100
2023-06-29,11,Sentosa Boardwalk,55
2023-06-29,11,Serapong Course,35
2023-06-29,12,Resorts World Sentosa,159
2023-06-29,12,Gateway Avenue,109
2023-06-29,12,Sentosa Gateway,90
2023-06-29,12,Sentosa Boardwalk,32
2023-06-29,12,Allanbrooke Road,31
2023-06-29,13,Resorts World Sentosa,109
2023-06-29,13,Gateway Avenue,98
2023-06-29,13,Sentosa Gateway,68
2023-06-29,13,Ironside Link,61
2023-06-29,13,Serapong Course,40
2023-06-29,14,Gateway Avenue,94
2023-06-29,14,Resorts World Sentosa,76
2023-06-29,14,Bukit Manis Road,62
2023-06-29,14,Ironside Link,60
2023-06-29,14,Sentosa Gateway,53
2023-06-29,15,Resorts World Sentosa,69
2023-06-29,15,Bukit Manis Road,61
2023-06-29,15,Ironside Link,60
2023-06-29,15,Gateway Avenue,56
2023-06-29,15,Sentosa Gateway,43
2023-06-29,16,Ironside Link,61
2023-06-29,16,Gateway Avenue,54
2023-06-29,16,Resorts World Sentosa,51
2023-06-29,16,Bukit Manis Road,48
2023-06-29,16,Allanbrooke Road,44
2023-06-29,17,Ironside Link,61
2023-06-29,17,Sentosa Gateway,52
2023-06-29,17,Allanbrooke Road,42
2023-06-29,17,Gateway Avenue,38
2023-06-29,17,Resorts World Sentosa,38
2023-06-29,18,Ironside Link,58
2023-06-29,18,Gateway Avenue,45
2023-06-29,18,Sentosa Gateway,38
2023-06-29,18,Allanbrooke Road,25
2023-06-29,18,Serapong Course,24
2023-06-29,19,Gateway Avenue,93
2023-06-29,19,Ironside Link,72
2023-06-29,19,Sentosa Gateway,63
2023-06-29,19,Resorts World Sentosa,51
2023-06-29,19,Bukit Manis Road,30
2023-06-29,20,Ironside Link,61
2023-06-29,20,Sentosa Gateway,44
2023-06-29,20,Gateway Avenue,40
2023-06-29,20,Serapong Course,40
2023-06-29,20,Bukit Manis Road,34
2023-06-29,21,Ironside Link,60
2023-06-29,21,Resorts World Sentosa,46
2023-06-29,21,Sentosa Gateway,45
2023-06-29,21,Allanbrooke Road,43
2023-06-29,21,Bukit Manis Road,37
2023-06-29,22,Sentosa Gateway,59
2023-06-29,22,Gateway Avenue,48
2023-06-29,22,Bukit Manis Road,47
2023-06-29,22,Allanbrooke Road,44
2023-06-29,22,Artillery Avenue,31
2023-06-29,23,Gateway Avenue,79
2023-06-29,23,Resorts World Sentosa,66
2023-06-29,23,Sentosa Gateway,64
2023-06-29,23,Ironside Link,57
2023-06-29,23,Allanbrooke Road,37
