date,hour,avg_taxi_drivers,max_cluster_size
2022-02-01,00,5.9,5
2022-02-01,01,4.59,4
2022-02-01,02,4.67,4
2022-02-01,03,5.65,4
2022-02-01,04,4.95,4
2022-02-01,05,6.58,4
2022-02-01,06,4.29,3
2022-02-01,07,6.07,3
2022-02-01,08,6.6,3
2022-02-01,09,12.38,6
2022-02-01,10,13.78,6
2022-02-01,11,7.33,8
2022-02-01,12,5.71,5
2022-02-01,13,4.31,4
2022-02-01,14,7.67,4
2022-02-01,15,7.45,4
2022-02-01,16,6.05,4
2022-02-01,17,4.33,4
2022-02-01,18,5.73,4
2022-02-01,19,5.32,4
2022-02-01,20,6.37,5
2022-02-01,21,7.65,5
2022-02-01,22,5.72,5
2022-02-01,23,6.02,5
