date,hour,avg_taxi_drivers,max_cluster_size
2023-06-08,00,5.52,4
2023-06-08,01,7.28,9
2023-06-08,02,9.73,13
2023-06-08,03,8.4,8
2023-06-08,04,4.7,3
2023-06-08,05,5.68,3
2023-06-08,06,4.62,3
2023-06-08,07,8.4,2
2023-06-08,08,4.6,2
2023-06-08,09,8.23,2
2023-06-08,10,10.25,6
2023-06-08,11,13.78,6
2023-06-08,12,9.47,3
2023-06-08,13,7.38,3
2023-06-08,14,11.08,5
2023-06-08,15,20.48,9
2023-06-08,16,9.97,8
2023-06-08,17,6.31,3
2023-06-08,18,5.82,3
2023-06-08,19,13.5,3
2023-06-08,20,10.35,4
2023-06-08,21,6.72,3
2023-06-08,22,8.53,3
2023-06-08,23,4.92,3
