date,hour,avg_taxi_drivers,max_cluster_size
2023-05-28,00,5.42,3
2023-05-28,01,4.02,3
2023-05-28,02,3.16,4
2023-05-28,03,2.38,3
2023-05-28,04,2.8,3
2023-05-28,05,2.11,2
2023-05-28,06,1.92,1
2023-05-28,07,1.31,2
2023-05-28,08,1.72,2
2023-05-28,09,1.26,2
2023-05-28,10,7.33,6
2023-05-28,11,13.45,9
2023-05-28,12,9.15,7
2023-05-28,13,9.48,4
2023-05-28,14,9.72,4
2023-05-28,15,10.6,5
2023-05-28,16,11.18,6
2023-05-28,17,7.88,4
2023-05-28,18,8.55,3
2023-05-28,19,9.3,4
2023-05-28,20,6.4,2
2023-05-28,21,5.82,3
2023-05-28,22,6.47,3
2023-05-28,23,11.15,6
