date,hour,avg_taxi_drivers,max_cluster_size
2021-09-01,00,14.25,14
2021-09-01,01,13.03,15
2021-09-01,02,9.92,11
2021-09-01,03,9.18,10
2021-09-01,04,9.35,5
2021-09-01,05,3.92,3
2021-09-01,06,3.6,3
2021-09-01,07,4.7,3
2021-09-01,08,7.12,3
2021-09-01,09,8.03,3
2021-09-01,10,8.95,3
2021-09-01,11,7.72,5
2021-09-01,12,8.92,4
2021-09-01,13,14.3,8
2021-09-01,14,11.92,8
2021-09-01,15,13.78,10
2021-09-01,16,12.42,8
2021-09-01,17,6.53,5
2021-09-01,18,6.93,5
2021-09-01,19,9.53,4
2021-09-01,20,11.13,6
2021-09-01,21,6.65,5
2021-09-01,22,3.2,2
2021-09-01,23,3.58,6
