date,hour,avg_taxi_drivers,max_cluster_size
2021-04-02,00,11.3,9
2021-04-02,01,8.85,11
2021-04-02,02,10.87,10
2021-04-02,03,11.95,10
2021-04-02,04,8.05,10
2021-04-02,05,6.5,4
2021-04-02,06,6.4,5
2021-04-02,07,5.05,3
2021-04-02,08,8.95,2
2021-04-02,09,14.47,10
2021-04-02,10,14.93,7
2021-04-02,11,13.4,6
2021-04-02,12,10.72,8
2021-04-02,13,13.83,10
2021-04-02,14,15.33,11
2021-04-02,15,12.05,10
2021-04-02,16,9.08,8
2021-04-02,17,11.82,8
2021-04-02,18,11.44,6
2021-04-02,19,6.32,7
2021-04-02,20,12.47,7
2021-04-02,21,16.07,10
2021-04-02,22,10.6,7
2021-04-02,23,10.8,8
