date,hour,avg_taxi_drivers,max_cluster_size
2023-08-09,00,8.49,7
2023-08-09,01,6.58,6
2023-08-09,02,5.07,4
2023-08-09,03,4.36,4
2023-08-09,04,3.45,3
2023-08-09,05,3.95,4
2023-08-09,06,4.59,2
2023-08-09,07,5.25,2
2023-08-09,08,5.8,2
2023-08-09,09,10.83,7
2023-08-09,10,20.7,11
2023-08-09,11,20.58,8
2023-08-09,12,11.53,7
2023-08-09,13,13.58,10
2023-08-09,14,15.45,7
2023-08-09,15,13.73,6
2023-08-09,16,10.78,6
2023-08-09,17,10.77,4
2023-08-09,18,12.47,6
2023-08-09,19,13.23,10
2023-08-09,20,7.1,2
2023-08-09,21,5.55,6
2023-08-09,22,8.93,4
2023-08-09,23,10.88,3
