date,hour,avg_taxi_drivers,max_cluster_size
2023-01-19,00,6.52,6
2023-01-19,01,7.28,5
2023-01-19,02,12.13,11
2023-01-19,03,8.42,4
2023-01-19,04,4.05,4
2023-01-19,05,2.98,2
2023-01-19,06,2.75,1
2023-01-19,07,4.29,2
2023-01-19,08,4.69,3
2023-01-19,09,8.55,5
2023-01-19,10,14.27,6
2023-01-19,11,17.57,9
2023-01-19,12,10.42,6
2023-01-19,13,8.73,3
2023-01-19,14,7.37,4
2023-01-19,15,5.58,3
2023-01-19,16,7.48,4
2023-01-19,17,4.87,2
2023-01-19,18,4.9,2
2023-01-19,19,10.45,4
2023-01-19,20,10.27,4
2023-01-19,21,7.0,3
2023-01-19,22,6.07,3
2023-01-19,23,5.85,4
