id,time,taxi_count,queue_length,min_coordinate,max_coordinate,day_type
1,00.00.00,76,158.59527230941146,"1.35737, 103.99002","1.3588, 103.99013",weekend
2,00.01.00,74,145.9079249044002,"1.35733, 103.98979","1.35858, 103.98937",weekend
3,00.02.00,48,137.39774363016673,"1.357362, 103.989865666667","1.35858, 103.99011",weekend
4,00.03.00,24,104.8021590087118,"1.357362, 103.989865666667","1.35818, 103.98939",weekend
5,00.04.00,23,102.19922250224325,"1.35731, 103.9897","1.35818, 103.98939",weekend
6,00.05.00,40,120.72810654546697,"1.35748, 103.98985","1.35854, 103.99011",weekend
7,00.06.00,33,132.36318453717308,"1.35742, 103.98993","1.3586, 103.99013",weekend
8,00.07.00,22,126.33443011324624,"1.35735, 103.99","1.35839, 103.98953",weekend
9,00.08.00,47,137.37635599439338,"1.35746, 103.98992","1.35867, 103.9902",weekend
10,00.09.00,57,153.01621282717207,"1.357364, 103.989885666667","1.35872, 103.99016",weekend
11,00.10.00,52,150.8064472104015,"1.357361, 103.989855666667","1.35869, 103.99016",weekend
12,00.11.00,46,159.20615269335403,"1.357361, 103.989855666667","1.35877, 103.99015",weekend
13,00.12.00,39,143.53219334754903,"1.35748, 103.98985","1.35874, 103.99016",weekend
14,00.13.00,44,155.12303826447638,"1.35743, 103.98985","1.3588, 103.99015",weekend
15,00.14.00,47,149.02531601029898,"1.357363, 103.989875666667","1.35868, 103.99016",weekend
16,00.15.00,43,218.6644215400051,"1.35658056666667, 103.9895233","1.35848, 103.99007",weekend
17,00.16.00,45,135.1261213122618,"1.35734, 103.99011","1.35856, 103.99004",weekend
18,00.17.00,43,165.2990778860176,"1.35733, 103.98989","1.3588, 103.99016",weekend
19,00.18.00,45,175.28230316943967,"1.357332, 103.989565666667","1.3588, 103.99016",weekend
20,00.19.00,33,166.53332376886257,"1.357345, 103.989695666667","1.35877, 103.99018",weekend
21,00.20.00,38,148.77850106174776,"1.35748, 103.9898","1.35877, 103.99018",weekend
22,00.21.00,53,131.0323632863406,"1.357358, 103.989825666667","1.3585, 103.99014",weekend
23,00.22.00,58,230.27453911182823,"1.35663, 103.98953","1.35871183333333, 103.989583166667",weekend
24,00.23.00,47,153.08216211917497,"1.357366, 103.989905666667","1.35871183333333, 103.989583166667",weekend
25,00.24.00,31,152.30808428688533,"1.35739, 103.98992","1.35874983333333, 103.990138",weekend
26,00.25.00,26,147.82934648827893,"1.3575, 103.98983","1.3588, 103.99014",weekend
27,00.26.00,33,161.8949486993316,"1.357355, 103.989795666667","1.3588, 103.99003",weekend
28,00.27.00,23,116.79638571878668,"1.35793, 103.98926","1.35855666666667, 103.990104833333",weekend
