id,time,taxi_count,queue_length,min_coordinate,max_coordinate,day_type
1,00.00.00,87,162.4862470311406,"1.35733233333333, 103.989975333333","1.35879, 103.99016",weekday
2,00.01.00,87,141.44703264476706,"1.35734, 103.98993","1.35859, 103.9902",weekday
3,00.02.00,77,135.27269143288797,"1.35741, 103.98993","1.35863, 103.99002",weekday
4,00.03.00,56,145.3224989319563,"1.35747, 103.98969","1.3587, 103.99015",weekday
5,00.04.00,77,150.5300343821072,"1.35743, 103.99007","1.35879, 103.99013",weekday
6,00.05.00,72,141.7679338275732,"1.35738, 103.99028","1.3585, 103.98966",weekday
7,00.06.00,74,124.23189713368397,"1.35743, 103.99007","1.35849, 103.9897",weekday
8,00.07.00,80,144.5056351140956,"1.35732, 103.98979","1.35856, 103.98938",weekday
9,00.08.00,85,139.6626859691541,"1.35732, 103.98979","1.35857, 103.98997",weekday
10,00.09.00,95,149.777228433815,"1.3572, 103.98971","1.35855, 103.9896",weekday
11,00.10.00,86,142.7501123711469,"1.3572, 103.98971","1.35849, 103.98966",weekday
12,00.11.00,93,177.20312896152424,"1.3572, 103.98971","1.3588, 103.9898",weekday
13,00.12.00,99,152.18701780074548,"1.35738, 103.98986","1.35874, 103.98965",weekday
14,00.13.00,84,147.8293467031628,"1.3574, 103.98987","1.3587, 103.99018",weekday
15,00.14.00,87,153.65422141377584,"1.3574, 103.98987","1.35873, 103.99027",weekday
16,00.15.00,86,163.77480880482764,"1.35733, 103.98973","1.3588, 103.98991",weekday
17,00.16.00,63,161.47387216929013,"1.35733, 103.98973","1.35879, 103.98976",weekday
18,00.17.00,68,131.39908664222406,"1.35736, 103.99001","1.358475, 103.989601666667",weekday
19,00.18.00,61,117.3869660558385,"1.35736, 103.99001","1.35824, 103.98942",weekday
20,00.19.00,68,117.42098446040164,"1.35736, 103.99001","1.35826, 103.98945",weekday
21,00.20.00,85,153.50374263975544,"1.35736, 103.99001","1.35874, 103.99016",weekday
22,00.21.00,90,165.8660827645976,"1.3573, 103.99015","1.3588, 103.99016",weekday
23,00.22.00,90,148.13804191598751,"1.35724, 103.99017","1.35846, 103.98962",weekday
24,00.23.00,103,164.10807715770446,"1.35724, 103.99017","1.35872, 103.99006",weekday
25,00.24.00,111,137.02774725768936,"1.35747, 103.98986","1.3587, 103.99001",weekday
26,00.25.00,106,156.9011810135733,"1.35736, 103.99001","1.3587785, 103.989974166667",weekday
27,00.26.00,112,156.9011810135733,"1.35736, 103.99001","1.3587785, 103.989974166667",weekday
28,00.27.00,112,166.56886869355557,"1.35733, 103.98966","1.35879216666667, 103.99002",weekday
29,00.28.00,105,169.2710801184638,"1.35727, 103.98984","1.3588, 103.98979",weekday
30,00.29.00,107,166.04519249710486,"1.35727, 103.98984","1.35877, 103.98991",weekday
31,00.30.00,95,169.2710801184638,"1.35727, 103.98984","1.3588, 103.98989",weekday
