date,time,cluster_size,address,day_type
2023-08-09,05:00:00,1,Shangri-La's Rasa Sentosa Resort & Spa,holiday
2023-08-09,05:00:00,1,Sentosa Gateway,holiday
2023-08-09,05:00:00,1,Sentosa Gateway,holiday
2023-08-09,05:00:00,1,Ironside Road,holiday
2023-08-09,05:00:00,1,Serapong Course,holiday
2023-08-09,05:00:00,1,Sentosa Gateway,holiday
2023-08-09,05:00:00,1,Sentosa Gateway,holiday
2023-08-09,05:00:00,1,Sentosa Gateway,holiday
2023-08-09,05:01:00,1,Shangri-La's Rasa Sentosa Resort & Spa,holiday
2023-08-09,05:01:00,1,Ironside Road,holiday
2023-08-09,05:01:00,1,Sentosa Boardwalk,holiday
2023-08-09,05:01:00,1,Ironside Road,holiday
2023-08-09,05:01:00,1,Gateway Avenue,holiday
2023-08-09,05:01:00,1,Bukit Manis Road,holiday
2023-08-09,05:01:00,1,Sentosa Gateway,holiday
2023-08-09,05:02:00,1,Fort Siloso,holiday
2023-08-09,05:02:00,1,Artillery Avenue,holiday
2023-08-09,05:02:00,1,Sentosa Gateway,holiday
2023-08-09,05:02:00,1,Ironside Road,holiday
2023-08-09,05:02:00,1,Artillery Avenue,holiday
2023-08-09,05:03:00,1,Fort Siloso,holiday
2023-08-09,05:03:00,1,Ironside Road,holiday
2023-08-09,05:03:00,1,Gateway Avenue,holiday
2023-08-09,05:03:00,1,Gateway Avenue,holiday
2023-08-09,05:03:00,1,Gateway Avenue,holiday
2023-08-09,05:04:00,1,Shangri-La's Rasa Sentosa Resort & Spa,holiday
2023-08-09,05:04:00,1,Sentosa Boardwalk,holiday
2023-08-09,05:04:00,1,Ironside Road,holiday
2023-08-09,05:04:00,2,Gateway Avenue,holiday
2023-08-09,05:04:00,1,Serapong Course,holiday
2023-08-09,05:04:00,1,Sentosa Gateway,holiday
2023-08-09,05:04:00,1,Sentosa Gateway,holiday
2023-08-09,05:05:00,1,Shangri-La's Rasa Sentosa Resort & Spa,holiday
2023-08-09,05:05:00,1,Sentosa Boardwalk,holiday
2023-08-09,05:05:00,1,Sentosa Gateway,holiday
2023-08-09,05:05:00,2,Gateway Avenue,holiday
2023-08-09,05:05:00,1,Serapong Course,holiday
2023-08-09,05:05:00,1,Sentosa Gateway,holiday
2023-08-09,05:06:00,1,Shangri-La's Rasa Sentosa Resort & Spa,holiday
2023-08-09,05:06:00,1,Sentosa Boardwalk,holiday
2023-08-09,05:06:00,4,Serapong Course,holiday
2023-08-09,05:06:00,1,Serapong Course Road,holiday
2023-08-09,05:07:00,1,Shangri-La's Rasa Sentosa Resort & Spa,holiday
2023-08-09,05:07:00,1,Sentosa Gateway,holiday
2023-08-09,05:07:00,2,Serapong Course,holiday
2023-08-09,05:07:00,1,Allanbrooke Road,holiday
2023-08-09,05:08:00,1,Shangri-La's Rasa Sentosa Resort & Spa,holiday
2023-08-09,05:08:00,1,Ironside Link,holiday
2023-08-09,05:08:00,1,Serapong Course,holiday
2023-08-09,05:08:00,1,Artillery Avenue,holiday
2023-08-09,05:09:00,1,Shangri-La's Rasa Sentosa Resort & Spa,holiday
2023-08-09,05:09:00,1,Ironside Link,holiday
2023-08-09,05:09:00,1,Serapong Course,holiday
2023-08-09,05:09:00,1,Gateway Avenue,holiday
2023-08-09,05:09:00,1,Sentosa Gateway,holiday
2023-08-09,05:09:00,1,Sentosa Gateway,holiday
2023-08-09,05:10:00,1,Shangri-La's Rasa Sentosa Resort & Spa,holiday
2023-08-09,05:10:00,1,Sentosa Gateway,holiday
2023-08-09,05:10:00,1,Sentosa Gateway,holiday
2023-08-09,05:10:00,1,Sentosa Gateway,holiday
2023-08-09,05:10:00,2,Serapong Course,holiday
2023-08-09,05:11:00,1,Shangri-La's Rasa Sentosa Resort & Spa,holiday
2023-08-09,05:11:00,1,Resorts World Sentosa,holiday
2023-08-09,05:11:00,1,Sentosa Gateway,holiday
2023-08-09,05:11:00,1,Sentosa Gateway,holiday
2023-08-09,05:11:00,2,Serapong Course,holiday
2023-08-09,05:12:00,1,Siloso Road,holiday
2023-08-09,05:12:00,1,Resorts World Sentosa,holiday
2023-08-09,05:12:00,1,Sentosa Gateway,holiday
2023-08-09,05:12:00,1,Serapong Course,holiday
2023-08-09,05:13:00,1,Artillery Avenue,holiday
2023-08-09,05:13:00,1,Resorts World Sentosa,holiday
2023-08-09,05:13:00,1,Serapong Course,holiday
2023-08-09,05:14:00,1,Artillery Avenue,holiday
2023-08-09,05:14:00,1,Gateway Avenue,holiday
2023-08-09,05:15:00,1,Universal Studios Singapore,holiday
2023-08-09,05:16:00,1,Sentosa Boardwalk,holiday
2023-08-09,05:16:00,1,Resorts World Sentosa,holiday
2023-08-09,05:17:00,1,Sentosa Gateway,holiday
2023-08-09,05:17:00,1,Gateway Avenue,holiday
2023-08-09,05:17:00,1,Sentosa Gateway,holiday
2023-08-09,05:18:00,1,Serapong Course,holiday
2023-08-09,05:18:00,1,Gateway Avenue,holiday
2023-08-09,05:18:00,1,Ironside Link,holiday
2023-08-09,05:18:00,1,Sentosa Gateway,holiday
2023-08-09,05:19:00,1,Sentosa Gateway,holiday
2023-08-09,05:19:00,2,Serapong Course,holiday
2023-08-09,05:19:00,1,Ironside Link,holiday
2023-08-09,05:20:00,1,Ironside Link,holiday
2023-08-09,05:20:00,1,Ironside Link,holiday
2023-08-09,05:21:00,1,Ironside Link,holiday
2023-08-09,05:22:00,1,Ironside Link,holiday
