date,time,cluster_size,address,day_type
2023-08-09,18:00:00,1,Resorts World Sentosa,holiday
2023-08-09,18:00:00,1,Hard Rock Hotel Singapore,holiday
2023-08-09,18:00:00,1,Resorts World Sentosa,holiday
2023-08-09,18:00:00,1,Sentosa Gateway,holiday
2023-08-09,18:00:00,3,Ironside Link,holiday
2023-08-09,18:00:00,1,Allanbrooke Road,holiday
2023-08-09,18:00:00,1,Ocean Drive,holiday
2023-08-09,18:00:00,1,Sentosa Gateway,holiday
2023-08-09,18:01:00,1,Resorts World Sentosa,holiday
2023-08-09,18:01:00,1,Resorts World Sentosa,holiday
2023-08-09,18:01:00,1,Sentosa Gateway,holiday
2023-08-09,18:01:00,1,Sentosa Gateway,holiday
2023-08-09,18:01:00,1,Sentosa Gateway,holiday
2023-08-09,18:01:00,2,Ironside Link,holiday
2023-08-09,18:01:00,1,Serapong Course,holiday
2023-08-09,18:01:00,1,Gateway Avenue,holiday
2023-08-09,18:01:00,1,Allanbrooke Road,holiday
2023-08-09,18:01:00,1,Ocean Drive,holiday
2023-08-09,18:01:00,1,Sentosa Gateway,holiday
2023-08-09,18:02:00,1,Resorts World Sentosa,holiday
2023-08-09,18:02:00,1,Sentosa Gateway,holiday
2023-08-09,18:02:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:02:00,1,Sentosa Gateway,holiday
2023-08-09,18:02:00,2,Ironside Link,holiday
2023-08-09,18:02:00,1,Serapong Course,holiday
2023-08-09,18:02:00,1,Serapong Course,holiday
2023-08-09,18:02:00,1,Serapong Course,holiday
2023-08-09,18:02:00,1,Artillery Avenue,holiday
2023-08-09,18:02:00,1,Ocean Drive,holiday
2023-08-09,18:02:00,1,Sentosa Gateway,holiday
2023-08-09,18:03:00,1,Oasis Resort Sentosa,holiday
2023-08-09,18:03:00,1,Resorts World Sentosa,holiday
2023-08-09,18:03:00,1,Sentosa Gateway,holiday
2023-08-09,18:03:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:03:00,1,Gateway Avenue,holiday
2023-08-09,18:03:00,1,Gateway Avenue,holiday
2023-08-09,18:03:00,1,Serapong Course,holiday
2023-08-09,18:03:00,1,Ironside Link,holiday
2023-08-09,18:03:00,1,Serapong Course,holiday
2023-08-09,18:03:00,1,Serapong Course,holiday
2023-08-09,18:03:00,1,Ocean Drive,holiday
2023-08-09,18:04:00,1,Oasis Resort Sentosa,holiday
2023-08-09,18:04:00,1,Sentosa Gateway,holiday
2023-08-09,18:04:00,1,Gateway Avenue,holiday
2023-08-09,18:04:00,1,Serapong Course,holiday
2023-08-09,18:05:00,1,Artillery Avenue,holiday
2023-08-09,18:05:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:05:00,1,Resorts World Sentosa,holiday
2023-08-09,18:05:00,1,Gateway Avenue,holiday
2023-08-09,18:05:00,2,Ironside Link,holiday
2023-08-09,18:05:00,2,Gateway Avenue,holiday
2023-08-09,18:05:00,1,Gateway Avenue,holiday
2023-08-09,18:05:00,1,Serapong Course,holiday
2023-08-09,18:05:00,1,Sentosa Gateway,holiday
2023-08-09,18:05:00,1,Sentosa Gateway,holiday
2023-08-09,18:06:00,1,Fort Siloso,holiday
2023-08-09,18:06:00,1,Resorts World Sentosa,holiday
2023-08-09,18:06:00,4,Sentosa Gateway,holiday
2023-08-09,18:06:00,1,Universal Studios Singapore,holiday
2023-08-09,18:06:00,4,Ironside Link,holiday
2023-08-09,18:06:00,1,Gateway Avenue,holiday
2023-08-09,18:06:00,2,Serapong Course,holiday
2023-08-09,18:06:00,1,Serapong Course,holiday
2023-08-09,18:06:00,1,Sentosa Gateway,holiday
2023-08-09,18:07:00,1,Shangri-La's Rasa Sentosa Resort & Spa,holiday
2023-08-09,18:07:00,1,Resorts World Sentosa,holiday
2023-08-09,18:07:00,1,Gateway Avenue,holiday
2023-08-09,18:07:00,1,Gateway Avenue,holiday
2023-08-09,18:07:00,5,Serapong Course,holiday
2023-08-09,18:07:00,3,Ironside Link,holiday
2023-08-09,18:07:00,1,Serapong Course,holiday
2023-08-09,18:07:00,1,Gateway Avenue,holiday
2023-08-09,18:07:00,1,Artillery Avenue,holiday
2023-08-09,18:07:00,1,Sentosa Gateway,holiday
2023-08-09,18:08:00,1,Sentosa Gateway,holiday
2023-08-09,18:08:00,1,Gateway Avenue,holiday
2023-08-09,18:08:00,1,Ironside Road,holiday
2023-08-09,18:08:00,5,Serapong Course,holiday
2023-08-09,18:08:00,3,Ironside Link,holiday
2023-08-09,18:08:00,1,Sentosa Gateway,holiday
2023-08-09,18:09:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:09:00,1,Gateway Avenue,holiday
2023-08-09,18:09:00,2,Gateway Avenue,holiday
2023-08-09,18:09:00,3,Ironside Link,holiday
2023-08-09,18:09:00,1,Sentosa Gateway,holiday
2023-08-09,18:09:00,1,Sentosa Gateway,holiday
2023-08-09,18:10:00,1,Sentosa Gateway,holiday
2023-08-09,18:10:00,1,Gateway Avenue,holiday
2023-08-09,18:10:00,1,Gateway Avenue,holiday
2023-08-09,18:10:00,3,Ironside Link,holiday
2023-08-09,18:10:00,1,Gateway Avenue,holiday
2023-08-09,18:10:00,1,Sentosa Gateway,holiday
2023-08-09,18:11:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:11:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:11:00,3,Ironside Link,holiday
2023-08-09,18:11:00,1,Gateway Avenue,holiday
2023-08-09,18:11:00,1,Sentosa Gateway,holiday
2023-08-09,18:11:00,1,Sentosa Gateway,holiday
2023-08-09,18:12:00,1,Mess Hall,holiday
2023-08-09,18:12:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:12:00,1,The Knolls,holiday
2023-08-09,18:12:00,3,Ironside Link,holiday
2023-08-09,18:12:00,3,Serapong Course,holiday
2023-08-09,18:13:00,1,Sentosa Nature Discovery,holiday
2023-08-09,18:13:00,1,Koufu,holiday
2023-08-09,18:13:00,1,Palawan Beach Walk,holiday
2023-08-09,18:13:00,1,Artillery Avenue,holiday
2023-08-09,18:13:00,1,Sentosa Gateway,holiday
2023-08-09,18:13:00,1,Gateway Avenue,holiday
2023-08-09,18:13:00,3,Ironside Link,holiday
2023-08-09,18:13:00,1,Gateway Avenue,holiday
2023-08-09,18:13:00,1,Serapong Course,holiday
2023-08-09,18:13:00,1,Ocean Drive,holiday
2023-08-09,18:13:00,1,Sentosa Gateway,holiday
2023-08-09,18:13:00,1,Sentosa Gateway,holiday
2023-08-09,18:14:00,1,Siloso Road,holiday
2023-08-09,18:14:00,1,Koufu,holiday
2023-08-09,18:14:00,1,Palawan Beach Walk,holiday
2023-08-09,18:14:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:14:00,1,Sentosa Gateway,holiday
2023-08-09,18:14:00,1,Gateway Avenue,holiday
2023-08-09,18:14:00,1,Serapong Course,holiday
2023-08-09,18:14:00,3,Ironside Link,holiday
2023-08-09,18:14:00,1,Gateway Avenue,holiday
2023-08-09,18:14:00,1,Serapong Course,holiday
2023-08-09,18:14:00,1,Ocean Drive,holiday
2023-08-09,18:14:00,1,Sentosa Gateway,holiday
2023-08-09,18:15:00,1,Siloso Road,holiday
2023-08-09,18:15:00,1,Siloso Road,holiday
2023-08-09,18:15:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:15:00,1,Gateway Avenue,holiday
2023-08-09,18:15:00,1,Serapong Course,holiday
2023-08-09,18:15:00,3,Ironside Link,holiday
2023-08-09,18:15:00,1,Gateway Avenue,holiday
2023-08-09,18:15:00,1,Gateway Avenue,holiday
2023-08-09,18:15:00,1,Ocean Drive,holiday
2023-08-09,18:16:00,1,Siloso Road,holiday
2023-08-09,18:16:00,1,Gateway Avenue,holiday
2023-08-09,18:16:00,3,Ironside Link,holiday
2023-08-09,18:16:00,3,Serapong Course,holiday
2023-08-09,18:16:00,1,Ocean Drive,holiday
2023-08-09,18:16:00,1,Sentosa Gateway,holiday
2023-08-09,18:17:00,1,Siloso Road,holiday
2023-08-09,18:17:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:17:00,1,Sentosa Gateway,holiday
2023-08-09,18:17:00,1,Sentosa Gateway,holiday
2023-08-09,18:17:00,1,Sentosa Gateway,holiday
2023-08-09,18:17:00,3,Ironside Link,holiday
2023-08-09,18:17:00,2,Serapong Course,holiday
2023-08-09,18:17:00,1,Ocean Way,holiday
2023-08-09,18:17:00,1,Sentosa Gateway,holiday
2023-08-09,18:18:00,1,Siloso Road,holiday
2023-08-09,18:18:00,1,Sentosa Gateway,holiday
2023-08-09,18:18:00,1,Sentosa Gateway,holiday
2023-08-09,18:18:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:18:00,4,Ironside Link,holiday
2023-08-09,18:18:00,2,Serapong Course,holiday
2023-08-09,18:18:00,1,Cove Avenue,holiday
2023-08-09,18:18:00,1,Ocean Way,holiday
2023-08-09,18:18:00,1,Sentosa Gateway,holiday
2023-08-09,18:18:00,1,Sentosa Gateway,holiday
2023-08-09,18:18:00,1,Sentosa Gateway,holiday
2023-08-09,18:19:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:19:00,1,Sentosa Gateway,holiday
2023-08-09,18:19:00,1,Sentosa Gateway,holiday
2023-08-09,18:19:00,1,Artillery Avenue,holiday
2023-08-09,18:19:00,4,Ironside Link,holiday
2023-08-09,18:19:00,4,Serapong Course,holiday
2023-08-09,18:19:00,1,Allanbrooke Road,holiday
2023-08-09,18:19:00,1,Allanbrooke Road,holiday
2023-08-09,18:19:00,1,Quayside Isle,holiday
2023-08-09,18:20:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:20:00,4,Ironside Link,holiday
2023-08-09,18:20:00,2,Serapong Course,holiday
2023-08-09,18:20:00,1,Artillery Avenue,holiday
2023-08-09,18:20:00,1,Allanbrooke Road,holiday
2023-08-09,18:20:00,1,Sentosa Golf Club,holiday
2023-08-09,18:21:00,1,Resorts World Sentosa,holiday
2023-08-09,18:21:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:21:00,1,Sentosa Gateway,holiday
2023-08-09,18:21:00,1,Artillery Avenue,holiday
2023-08-09,18:21:00,4,Ironside Link,holiday
2023-08-09,18:21:00,1,Serapong Course,holiday
2023-08-09,18:21:00,1,Bukit Manis Road,holiday
2023-08-09,18:21:00,1,Sentosa Gateway,holiday
2023-08-09,18:22:00,1,Resorts World Sentosa,holiday
2023-08-09,18:22:00,1,Sentosa Gateway,holiday
2023-08-09,18:22:00,1,Gateway Avenue,holiday
2023-08-09,18:22:00,3,Ironside Link,holiday
2023-08-09,18:22:00,3,Serapong Course,holiday
2023-08-09,18:22:00,1,Bukit Manis Road,holiday
2023-08-09,18:22:00,1,ONE ̊15 Marina,holiday
2023-08-09,18:22:00,1,Sentosa Gateway,holiday
2023-08-09,18:22:00,1,Sentosa Gateway,holiday
2023-08-09,18:23:00,1,Oasis Resort Sentosa,holiday
2023-08-09,18:23:00,1,Ironside Road,holiday
2023-08-09,18:23:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:23:00,1,Sentosa Boardwalk,holiday
2023-08-09,18:23:00,1,Sentosa Gateway,holiday
2023-08-09,18:23:00,1,Sentosa Gateway,holiday
2023-08-09,18:23:00,3,Ironside Link,holiday
2023-08-09,18:23:00,1,Serapong Course,holiday
2023-08-09,18:23:00,1,Cove Avenue,holiday
2023-08-09,18:23:00,1,Wok° 15,holiday
2023-08-09,18:24:00,1,Sentosa Gateway,holiday
2023-08-09,18:24:00,3,Ironside Link,holiday
2023-08-09,18:24:00,2,Gateway Avenue,holiday
2023-08-09,18:24:00,1,Gateway Avenue,holiday
2023-08-09,18:24:00,1,Cove Avenue,holiday
2023-08-09,18:24:00,1,Wok° 15,holiday
2023-08-09,18:25:00,1,Sentosa Gateway,holiday
2023-08-09,18:25:00,1,Gateway Avenue,holiday
2023-08-09,18:25:00,2,Ironside Link,holiday
2023-08-09,18:25:00,4,Gateway Avenue,holiday
2023-08-09,18:25:00,1,Gateway Avenue,holiday
2023-08-09,18:25:00,1,Allanbrooke Road,holiday
2023-08-09,18:25:00,1,Cove Drive,holiday
2023-08-09,18:26:00,1,Sentosa Gateway,holiday
2023-08-09,18:26:00,1,Gateway Avenue,holiday
2023-08-09,18:26:00,2,Ironside Link,holiday
2023-08-09,18:26:00,1,Gateway Avenue,holiday
2023-08-09,18:26:00,1,Artillery Avenue South,holiday
2023-08-09,18:26:00,1,Bukit Manis Road,holiday
2023-08-09,18:26:00,1,Cove Drive,holiday
2023-08-09,18:26:00,1,Sentosa Gateway,holiday
2023-08-09,18:26:00,1,Sentosa Gateway,holiday
2023-08-09,18:27:00,1,Resorts World Sentosa,holiday
2023-08-09,18:27:00,1,Sentosa Gateway,holiday
2023-08-09,18:27:00,1,Southern Islands,holiday
2023-08-09,18:27:00,2,Ironside Link,holiday
2023-08-09,18:27:00,1,Gateway Avenue,holiday
