minutes,taxi_count,sum
"['01.03.00', '01.04.00', '01.05.00']","[23, 27, 20]",3
"['01.17.00', '01.18.00']","[20, 20]",2
"['01.34.00', '01.35.00', '01.36.00', '01.37.00']","[18, 20, 16, 19]",4
"['01.41.00', '01.42.00', '01.43.00']","[17, 24, 17]",3
"['01.46.00', '01.47.00']","[20, 20]",2
"['02.38.00', '02.39.00', '02.40.00', '02.41.00', '02.42.00', '02.43.00']","[17, 22, 15, 19, 20, 19]",6
"['02.49.00', '02.50.00', '02.51.00', '02.52.00']","[25, 25, 24, 19]",4
"['03.04.00', '03.05.00']","[23, 23]",2
"['03.07.00', '03.08.00']","[16, 17]",2
"['03.15.00', '03.16.00', '03.17.00', '03.18.00']","[20, 19, 23, 19]",4
"['03.20.00', '03.21.00']","[22, 22]",2
"['04.08.00', '04.09.00', '04.10.00']","[21, 22, 17]",3
"['08.19.00', '08.20.00', '08.21.00', '08.22.00', '08.23.00']","[37, 38, 28, 30, 25]",5
"['08.26.00', '08.27.00', '08.28.00']","[24, 21, 25]",3
"['08.32.00', '08.33.00', '08.34.00', '08.35.00']","[29, 22, 19, 20]",4
"['08.38.00', '08.39.00', '08.40.00', '08.41.00', '08.42.00', '08.43.00', '08.44.00', '08.45.00', '08.46.00', '08.47.00', '08.48.00', '08.49.00']","[19, 18, 23, 16, 20, 20, 21, 22, 25, 17, 24, 14]",12
"['08.51.00', '08.52.00', '08.53.00']","[18, 25, 22]",3
"['08.57.00', '08.58.00', '08.59.00']","[31, 20, 31]",3
"['09.04.00', '09.05.00', '09.06.00']","[20, 17, 25]",3
"['09.08.00', '09.09.00', '09.10.00', '09.11.00', '09.12.00', '09.13.00']","[19, 26, 21, 18, 24, 16]",6
"['09.16.00', '09.17.00', '09.18.00', '09.19.00', '09.20.00', '09.21.00', '09.22.00', '09.23.00']","[27, 31, 28, 27, 27, 28, 31, 33]",8
"['10.05.00', '10.06.00']","[27, 22]",2
"['10.26.00', '10.27.00', '10.28.00', '10.29.00']","[27, 18, 18, 18]",4
"['10.40.00', '10.41.00', '10.42.00']","[24, 28, 29]",3
"['10.44.00', '10.45.00', '10.46.00']","[24, 23, 23]",3
"['10.56.00', '10.57.00', '10.58.00', '10.59.00']","[19, 27, 25, 23]",4
"['11.06.00', '11.07.00']","[15, 16]",2
"['11.29.00', '11.30.00']","[19, 29]",2
"['11.56.00', '11.57.00', '11.58.00']","[23, 25, 24]",3
"['12.00.00', '12.01.00']","[27, 27]",2
"['12.21.00', '12.22.00', '12.23.00', '12.24.00']","[29, 24, 27, 26]",4
"['12.41.00', '12.42.00']","[21, 15]",2
"['13.11.00', '13.12.00']","[26, 14]",2
"['13.33.00', '13.34.00']","[16, 21]",2
"['17.13.00', '17.14.00']","[23, 20]",2
"['17.49.00', '17.50.00']","[17, 15]",2
"['17.52.00', '17.53.00']","[19, 16]",2
"['20.04.00', '20.05.00']","[18, 22]",2
"['20.07.00', '20.08.00', '20.09.00']","[20, 21, 23]",3
"['20.15.00', '20.16.00']","[23, 19]",2
"['20.51.00', '20.52.00']","[22, 24]",2
