minutes,taxi_count,sum
"['00.18.00', '00.19.00']","[18, 17]",2
"['00.30.00', '00.31.00']","[29, 30]",2
"['00.33.00', '00.34.00']","[23, 22]",2
"['01.02.00', '01.03.00']","[15, 19]",2
"['01.06.00', '01.07.00']","[15, 19]",2
"['01.09.00', '01.10.00']","[20, 20]",2
"['01.12.00', '01.13.00', '01.14.00', '01.15.00', '01.16.00', '01.17.00', '01.18.00']","[25, 35, 24, 40, 28, 33, 27]",7
"['01.21.00', '01.22.00']","[35, 35]",2
"['01.30.00', '01.31.00', '01.32.00']","[21, 30, 33]",3
"['01.36.00', '01.37.00']","[28, 30]",2
"['01.47.00', '01.48.00']","[25, 21]",2
"['02.25.00', '02.26.00']","[22, 22]",2
"['02.31.00', '02.32.00', '02.33.00', '02.34.00']","[25, 23, 23, 25]",4
"['02.36.00', '02.37.00', '02.38.00', '02.39.00']","[28, 28, 26, 28]",4
"['03.25.00', '03.26.00']","[29, 21]",2
"['03.28.00', '03.29.00']","[24, 27]",2
"['03.37.00', '03.38.00', '03.39.00', '03.40.00']","[26, 24, 24, 23]",4
"['03.42.00', '03.43.00', '03.44.00']","[27, 23, 26]",3
"['03.52.00', '03.53.00']","[30, 39]",2
"['03.55.00', '03.56.00', '03.57.00']","[26, 24, 23]",3
"['04.02.00', '04.03.00']","[27, 31]",2
"['04.12.00', '04.13.00']","[26, 30]",2
"['04.55.00', '04.56.00']","[24, 19]",2
"['05.14.00', '05.15.00']","[26, 23]",2
"['05.31.00', '05.32.00', '05.33.00']","[30, 31, 30]",3
"['05.46.00', '05.47.00', '05.48.00', '05.49.00', '05.50.00', '05.51.00', '05.52.00']","[26, 26, 24, 24, 26, 26, 24]",7
"['05.57.00', '05.58.00', '05.59.00']","[24, 24, 24]",3
"['06.12.00', '06.13.00']","[24, 26]",2
"['06.15.00', '06.16.00', '06.17.00']","[30, 31, 30]",3
"['06.24.00', '06.25.00', '06.26.00', '06.27.00']","[27, 28, 28, 31]",4
"['06.29.00', '06.30.00', '06.31.00', '06.32.00']","[28, 27, 33, 31]",4
"['06.34.00', '06.35.00', '06.36.00', '06.37.00']","[35, 32, 37, 35]",4
"['06.39.00', '06.40.00', '06.41.00', '06.42.00']","[35, 38, 32, 32]",4
"['06.44.00', '06.45.00', '06.46.00', '06.47.00']","[41, 45, 28, 35]",4
"['06.51.00', '06.52.00', '06.53.00', '06.54.00', '06.55.00', '06.56.00', '06.57.00', '06.58.00', '06.59.00', '07.00.00', '07.01.00', '07.02.00', '07.03.00', '07.04.00', '07.05.00']","[35, 28, 33, 36, 27, 30, 27, 40, 31, 27, 44, 29, 30, 37, 32]",15
"['07.07.00', '07.08.00']","[28, 31]",2
"['07.17.00', '07.18.00', '07.19.00']","[38, 37, 25]",3
"['07.28.00', '07.29.00']","[18, 26]",2
"['07.38.00', '07.39.00']","[26, 25]",2
"['07.44.00', '07.45.00', '07.46.00', '07.47.00']","[24, 29, 32, 29]",4
"['07.56.00', '07.57.00', '07.58.00', '07.59.00', '08.00.00', '08.01.00', '08.02.00']","[35, 37, 31, 36, 35, 25, 32]",7
"['08.06.00', '08.07.00', '08.08.00']","[27, 28, 24]",3
"['08.16.00', '08.17.00']","[23, 31]",2
"['08.20.00', '08.21.00']","[36, 25]",2
"['08.24.00', '08.25.00', '08.26.00', '08.27.00', '08.28.00', '08.29.00', '08.30.00', '08.31.00']","[25, 25, 26, 26, 31, 25, 32, 30]",8
