minutes,taxi_count,sum
"['00.00.00', '00.01.00']","[18, 20]",2
"['00.03.00', '00.04.00']","[18, 17]",2
"['00.14.00', '00.15.00']","[24, 27]",2
"['00.25.00', '00.26.00', '00.27.00', '00.28.00', '00.29.00']","[26, 31, 28, 26, 28]",5
"['00.31.00', '00.32.00']","[30, 29]",2
"['00.34.00', '00.35.00', '00.36.00', '00.37.00']","[30, 30, 23, 27]",4
"['00.50.00', '00.51.00', '00.52.00', '00.53.00', '00.54.00', '00.55.00', '00.56.00']","[28, 30, 24, 35, 38, 32, 32]",7
"['01.02.00', '01.03.00', '01.04.00', '01.05.00', '01.06.00', '01.07.00']","[29, 35, 35, 27, 27, 24]",6
"['01.19.00', '01.20.00', '01.21.00']","[25, 26, 26]",3
"['02.18.00', '02.19.00']","[25, 24]",2
"['02.21.00', '02.22.00']","[27, 27]",2
"['02.31.00', '02.32.00']","[25, 23]",2
"['02.34.00', '02.35.00', '02.36.00', '02.37.00', '02.38.00']","[26, 23, 24, 28, 25]",5
"['02.40.00', '02.41.00', '02.42.00', '02.43.00']","[26, 27, 26, 29]",4
"['02.47.00', '02.48.00', '02.49.00', '02.50.00', '02.51.00', '02.52.00']","[28, 24, 37, 29, 21, 35]",6
"['02.55.00', '02.56.00', '02.57.00', '02.58.00', '02.59.00', '03.00.00', '03.01.00', '03.02.00', '03.03.00', '03.04.00']","[19, 35, 25, 29, 27, 29, 29, 32, 29, 22]",10
"['03.06.00', '03.07.00', '03.08.00']","[33, 33, 31]",3
"['03.14.00', '03.15.00']","[33, 21]",2
"['03.19.00', '03.20.00']","[22, 25]",2
"['03.22.00', '03.23.00']","[28, 26]",2
"['04.22.00', '04.23.00']","[19, 22]",2
"['04.35.00', '04.36.00']","[22, 23]",2
"['04.38.00', '04.39.00']","[24, 23]",2
"['04.48.00', '04.49.00', '04.50.00', '04.51.00']","[25, 23, 19, 19]",4
"['04.56.00', '04.57.00']","[26, 27]",2
"['04.59.00', '05.00.00', '05.01.00', '05.02.00', '05.03.00', '05.04.00', '05.05.00', '05.06.00']","[31, 25, 33, 32, 31, 27, 23, 25]",8
"['05.09.00', '05.10.00', '05.11.00', '05.12.00', '05.13.00', '05.14.00', '05.15.00', '05.16.00', '05.17.00', '05.18.00', '05.19.00', '05.20.00']","[22, 26, 28, 23, 28, 28, 26, 19, 20, 30, 28, 26]",12
"['05.22.00', '05.23.00']","[27, 24]",2
"['05.37.00', '05.38.00', '05.39.00']","[22, 20, 23]",3
"['05.41.00', '05.42.00', '05.43.00']","[23, 23, 23]",3
"['05.45.00', '05.46.00']","[17, 26]",2
"['05.48.00', '05.49.00', '05.50.00', '05.51.00']","[27, 25, 22, 27]",4
"['05.56.00', '05.57.00', '05.58.00']","[28, 24, 21]",3
"['06.03.00', '06.04.00']","[27, 27]",2
"['06.11.00', '06.12.00']","[21, 20]",2
"['06.21.00', '06.22.00', '06.23.00', '06.24.00']","[31, 24, 33, 30]",4
"['06.26.00', '06.27.00']","[26, 32]",2
"['06.32.00', '06.33.00', '06.34.00']","[25, 29, 34]",3
"['06.47.00', '06.48.00', '06.49.00', '06.50.00', '06.51.00', '06.52.00', '06.53.00', '06.54.00']","[29, 33, 40, 32, 29, 31, 31, 22]",8
"['06.57.00', '06.58.00', '06.59.00', '07.00.00', '07.01.00', '07.02.00', '07.03.00']","[27, 27, 37, 24, 31, 32, 32]",7
"['07.10.00', '07.11.00', '07.12.00', '07.13.00', '07.14.00', '07.15.00', '07.16.00', '07.17.00', '07.18.00', '07.19.00', '07.20.00', '07.21.00', '07.22.00', '07.23.00', '07.24.00', '07.25.00']","[47, 33, 43, 47, 55, 36, 50, 49, 32, 42, 36, 29, 34, 48, 45, 44]",16
"['07.27.00', '07.28.00', '07.29.00', '07.30.00', '07.31.00', '07.32.00', '07.33.00', '07.34.00', '07.35.00', '07.36.00', '07.37.00', '07.38.00', '07.39.00', '07.40.00']","[33, 46, 32, 41, 34, 39, 43, 20, 29, 36, 48, 28, 48, 26]",14
"['07.42.00', '07.43.00', '07.44.00', '07.45.00', '07.46.00', '07.47.00', '07.48.00', '07.49.00', '07.50.00', '07.51.00', '07.52.00', '07.53.00', '07.54.00']","[30, 36, 49, 19, 43, 38, 42, 39, 23, 48, 45, 43, 42]",13
"['07.56.00', '07.57.00', '07.58.00', '07.59.00', '08.00.00', '08.01.00', '08.02.00', '08.03.00', '08.04.00', '08.05.00', '08.06.00', '08.07.00', '08.08.00', '08.09.00', '08.10.00', '08.11.00', '08.12.00', '08.13.00', '08.14.00', '08.15.00', '08.16.00', '08.17.00', '08.18.00', '08.19.00', '08.20.00', '08.21.00', '08.22.00', '08.23.00', '08.24.00', '08.25.00', '08.26.00', '08.27.00', '08.28.00', '08.29.00']","[38, 46, 47, 45, 28, 45, 49, 33, 44, 32, 43, 42, 41, 29, 56, 49, 43, 34, 37, 24, 44, 40, 28, 46, 35, 41, 54, 49, 60, 45, 31, 55, 53, 37]",34
"['08.32.00', '08.33.00', '08.34.00', '08.35.00', '08.36.00', '08.37.00', '08.38.00', '08.39.00', '08.40.00', '08.41.00']","[53, 53, 51, 44, 46, 40, 36, 54, 32, 40]",10
"['08.44.00', '08.45.00', '08.46.00', '08.47.00', '08.48.00', '08.49.00', '08.50.00', '08.51.00', '08.52.00', '08.53.00', '08.54.00', '08.55.00', '08.56.00', '08.57.00', '08.58.00', '08.59.00']","[39, 38, 53, 43, 43, 39, 32, 29, 44, 45, 28, 31, 44, 46, 40, 29]",16
"['09.01.00', '09.02.00', '09.03.00']","[48, 49, 44]",3
