minutes,taxi_count,sum
"['00.01.00', '00.02.00', '00.03.00']","[23, 23, 22]",3
"['00.29.00', '00.30.00', '00.31.00', '00.32.00', '00.33.00', '00.34.00', '00.35.00', '00.36.00']","[41, 45, 24, 29, 26, 28, 27, 27]",8
"['00.39.00', '00.40.00', '00.41.00', '00.42.00']","[34, 33, 32, 25]",4
"['00.47.00', '00.48.00']","[34, 32]",2
"['00.54.00', '00.55.00']","[33, 25]",2
"['01.11.00', '01.12.00']","[22, 21]",2
"['01.14.00', '01.15.00', '01.16.00']","[22, 24, 31]",3
"['01.21.00', '01.22.00', '01.23.00']","[28, 24, 23]",3
"['01.25.00', '01.26.00']","[26, 23]",2
"['01.30.00', '01.31.00', '01.32.00']","[28, 28, 28]",3
"['01.36.00', '01.37.00']","[30, 26]",2
"['01.40.00', '01.41.00', '01.42.00', '01.43.00', '01.44.00', '01.45.00', '01.46.00', '01.47.00']","[24, 23, 29, 33, 39, 42, 40, 24]",8
"['01.49.00', '01.50.00']","[35, 34]",2
"['01.53.00', '01.54.00', '01.55.00', '01.56.00', '01.57.00', '01.58.00', '01.59.00', '02.00.00', '02.01.00', '02.02.00']","[30, 34, 35, 33, 29, 30, 35, 36, 20, 41]",10
"['02.04.00', '02.05.00', '02.06.00', '02.07.00']","[26, 30, 29, 22]",4
"['02.09.00', '02.10.00', '02.11.00', '02.12.00', '02.13.00']","[35, 31, 37, 29, 41]",5
"['02.18.00', '02.19.00', '02.20.00']","[35, 38, 34]",3
"['02.23.00', '02.24.00', '02.25.00']","[29, 30, 27]",3
"['02.27.00', '02.28.00', '02.29.00', '02.30.00']","[27, 25, 27, 26]",4
"['02.32.00', '02.33.00', '02.34.00', '02.35.00', '02.36.00', '02.37.00']","[23, 31, 29, 21, 25, 25]",6
"['02.40.00', '02.41.00']","[28, 33]",2
"['02.48.00', '02.49.00']","[31, 34]",2
"['03.01.00', '03.02.00', '03.03.00']","[33, 28, 30]",3
"['03.05.00', '03.06.00', '03.07.00', '03.08.00', '03.09.00']","[29, 34, 29, 32, 25]",5
"['03.17.00', '03.18.00', '03.19.00']","[24, 21, 27]",3
"['03.21.00', '03.22.00']","[26, 29]",2
"['03.26.00', '03.27.00', '03.28.00']","[27, 29, 19]",3
"['04.20.00', '04.21.00']","[21, 19]",2
"['04.35.00', '04.36.00', '04.37.00', '04.38.00', '04.39.00', '04.40.00', '04.41.00', '04.42.00']","[27, 25, 21, 25, 31, 30, 33, 28]",8
"['04.44.00', '04.45.00']","[29, 25]",2
"['04.47.00', '04.48.00']","[21, 26]",2
"['04.53.00', '04.54.00', '04.55.00', '04.56.00', '04.57.00']","[28, 30, 36, 27, 28]",5
"['04.59.00', '05.00.00', '05.01.00']","[40, 27, 35]",3
"['05.10.00', '05.11.00']","[23, 22]",2
"['05.14.00', '05.15.00', '05.16.00']","[31, 32, 32]",3
"['05.18.00', '05.19.00', '05.20.00']","[29, 31, 32]",3
"['05.22.00', '05.23.00', '05.24.00', '05.25.00', '05.26.00']","[35, 30, 25, 33, 28]",5
"['05.31.00', '05.32.00']","[31, 31]",2
"['05.34.00', '05.35.00', '05.36.00', '05.37.00']","[31, 26, 29, 30]",4
"['05.39.00', '05.40.00']","[26, 25]",2
"['05.46.00', '05.47.00']","[21, 17]",2
"['05.50.00', '05.51.00', '05.52.00']","[24, 23, 22]",3
"['06.03.00', '06.04.00', '06.05.00']","[23, 25, 22]",3
"['06.09.00', '06.10.00', '06.11.00']","[29, 30, 31]",3
"['06.13.00', '06.14.00', '06.15.00', '06.16.00', '06.17.00']","[31, 31, 31, 34, 27]",5
"['06.21.00', '06.22.00', '06.23.00', '06.24.00', '06.25.00', '06.26.00', '06.27.00']","[28, 41, 27, 41, 32, 33, 25]",7
"['06.29.00', '06.30.00', '06.31.00', '06.32.00', '06.33.00', '06.34.00', '06.35.00', '06.36.00']","[36, 33, 32, 31, 28, 33, 29, 31]",8
"['06.45.00', '06.46.00']","[24, 16]",2
"['06.53.00', '06.54.00', '06.55.00']","[23, 21, 20]",3
"['07.18.00', '07.19.00', '07.20.00', '07.21.00']","[19, 26, 24, 27]",4
"['07.40.00', '07.41.00']","[20, 30]",2
"['07.44.00', '07.45.00', '07.46.00']","[23, 26, 30]",3
"['07.48.00', '07.49.00', '07.50.00']","[29, 26, 27]",3
"['07.53.00', '07.54.00']","[40, 38]",2
"['07.56.00', '07.57.00', '07.58.00', '07.59.00', '08.00.00', '08.01.00', '08.02.00']","[24, 24, 20, 30, 22, 29, 27]",7
"['08.05.00', '08.06.00', '08.07.00']","[30, 27, 32]",3
"['08.09.00', '08.10.00', '08.11.00']","[28, 30, 30]",3
"['08.23.00', '08.24.00', '08.25.00']","[25, 27, 26]",3
"['09.09.00', '09.10.00']","[22, 28]",2
"['09.30.00', '09.31.00', '09.32.00']","[21, 25, 23]",3
"['10.10.00', '10.11.00']","[18, 19]",2
"['10.14.00', '10.15.00', '10.16.00']","[24, 26, 26]",3
"['10.18.00', '10.19.00', '10.20.00', '10.21.00']","[25, 26, 27, 30]",4
"['10.23.00', '10.24.00', '10.25.00', '10.26.00']","[26, 26, 28, 26]",4
"['10.32.00', '10.33.00', '10.34.00', '10.35.00']","[20, 32, 33, 32]",4
"['10.39.00', '10.40.00']","[26, 35]",2
"['10.44.00', '10.45.00', '10.46.00']","[28, 30, 28]",3
